gr_et,alpha
1,-1.3055466303436927
2,-2.4881757031952185
3,-2.777733087521491
4,-1.9185009595390596
5,-1.165195690237485
6,-0.7451332702691056
7,-0.35835820663967
8,-0.13028544395137598
9,0.14990619559679405
10,0.3726797647049676
11,0.7017044969355181
12,0.8853766577958911
13,1.2027779340753775
14,1.5162380417438501
15,1.820276584242001
16,2.0465443041518427
17,2.193425012450856
