ano,sexo,gr_et,poblacion
2019,1,13,918303
2019,1,14,446816
2019,1,15,528011
2019,1,16,367618
2019,1,17,365578
2019,2,1,1196001
2019,2,2,1621136
2019,2,3,1715459
2019,2,4,2121093
2019,2,5,2119157
2019,2,6,2008526
2019,2,7,1484162
2019,2,8,1751024
2019,2,9,1571116
2019,2,10,1459594
2019,2,11,1428314
2019,2,12,1300095
2019,2,13,1076283
2019,2,14,849688
2019,2,15,633541
2019,2,16,456091
2019,2,17,551042
2020,1,1,870599
2020,1,2,1699827
2020,1,3,1363897
2020,1,4,2232902
2020,1,5,2185411
2020,1,6,1725363
2020,1,7,1520005
2020,1,8,1687782
2020,1,9,1238178
2020,1,10,1105842
2020,1,11,1072891
2020,1,12,756926
2020,1,13,780751
2020,1,14,744901
2020,1,15,548656
2020,1,16,316591
2020,1,17,435202
2020,2,1,1537915
2020,2,2,1986853
2020,2,3,2100588
2020,2,4,1762254
2020,2,5,2179053
2020,2,6,2094838
2020,2,7,1887759
2020,2,8,1789822
2020,2,9,1632066
2020,2,10,1475600
2020,2,11,1182919
2020,2,12,1088783
2020,2,13,907812
2020,2,14,884736
2020,2,15,662849
2020,2,16,467270
2020,2,17,581783
2021,1,1,1965342
2021,1,2,2075587
2021,1,3,2192923
2021,1,4,1841148
2021,1,5,2220793
2021,1,6,2140344
2021,1,7,1556725
2021,1,8,751649
2021,1,9,1561918
2021,1,10,1363415
2021,1,11,1071471
2021,1,12,1203858
2021,1,13,984454
2021,1,14,766212
2021,1,15,566242
2021,1,16,380462
2021,1,17,389079
2021,2,1,1541704
2021,2,2,1979342
2021,2,3,2090631
2021,2,4,2156373
2021,2,5,2206973
2021,2,6,1757126
2021,2,7,1942138
2021,2,8,1815095
2021,2,9,1683300
2021,2,10,1493398
2021,2,11,1191294
2021,2,12,1365113
2021,2,13,1153479
2021,2,14,918422
2021,2,15,689426
2021,2,16,404826
2021,2,17,509015
2022,1,1,1949741
2022,1,2,2062185
2022,1,3,2172129
2022,1,4,1845716
2022,1,5,2238929
2022,1,6,1780907
2022,1,7,1955299
2022,1,8,1746230
2022,1,9,1321454
2022,1,10,1386598
2022,1,11,1074593
2022,1,12,1222813
2022,1,13,660505
2022,1,14,630552
2022,1,15,582252
2022,1,16,388422
2022,1,17,423094
2022,2,1,1853626
2022,2,2,1965640
2022,2,3,2071867
2022,2,4,2156954
2022,2,5,2214541
2022,2,6,2185383
2022,2,7,1993315
2022,2,8,1834106
2022,2,9,1407384
2022,2,10,1517180
2022,2,11,1454701
2022,2,12,1385313
2022,2,13,1190054
2022,2,14,951533
2022,2,15,715489
2022,2,16,309068
2022,2,17,515844
2023,1,1,1930406
2023,1,2,2047188
2023,1,3,1720899
2023,1,4,2248852
2023,1,5,2250404
2023,1,6,2196846
2023,1,7,2011912
2023,1,8,1774522
2023,1,9,1639933
2023,1,10,1416864
2023,1,11,1315967
2023,1,12,1236612
2023,1,13,860813
2023,1,14,811057
2023,1,15,491685
2023,1,16,400112
2023,1,17,397398
2023,2,1,1835956
2023,2,2,1948701
2023,2,3,2052696
2023,2,4,2150916
2023,2,5,1815150
2023,2,6,2210157
2023,2,7,2044255
2023,2,8,1492747
2023,2,9,1759976
2023,2,10,1549263
2023,2,11,1456370
2023,2,12,1400122
2023,2,13,1226650
2023,2,14,985322
2023,2,15,592045
2023,2,16,337732
2023,2,17,560614
