dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1986,1,1985,1.829664813029856,2.3973324,0.5676676168560082,0.3102577110370624
train,1986,2,1984,0.6877785331114468,0.8155501,0.12777155577099952,0.1857742712509316
train,1986,3,1983,0.4829953925258274,0.5353121,0.05231672362026024,0.10831723124016007
train,1986,4,1982,0.8452199941619447,1.2632585,0.4180384630218932,0.494591308663839
train,1986,5,1981,1.8555022876141765,2.2019708,0.3464685280443929,0.18672492637543384
train,1986,6,1980,3.990094409261082,3.1620715,0.8280229428151591,0.20751963685197403
train,1986,7,1979,5.119405725260913,4.9610014,0.15840432908171387,0.030941936932261754
train,1986,8,1978,5.737371288029029,5.593182,0.14418920108444855,0.025131579227802955
train,1986,9,1977,7.16419189589291,7.446536,0.2823441682550394,0.03941046978611256
train,1986,10,1976,7.508740256171813,8.227077,0.7183362742847299,0.09566668306234156
train,1986,11,1975,11.474170581383689,13.353699,1.8795281490850613,0.1638051426683812
train,1986,12,1974,14.15439662243611,16.686424,2.532027632934984,0.17888629946410378
train,1986,13,1973,20.709775013806517,24.272541,3.562766032336061,0.17203306312891914
train,1986,14,1972,28.63033662515931,30.79902,2.168684142052605,0.07574776959299766
train,1986,15,1971,33.64859190375947,43.092045,9.443452926562799,0.28064927511892185
train,1986,16,1970,47.09917931901696,40.357166,6.7420130287337585,0.14314502134034918
train,1986,17,1969,32.10255838818626,34.672157,2.569598899411396,0.0800434304437533
train,1987,1,1986,1.515381501081351,2.0382774,0.5228958865376676,0.3450589083766647
train,1987,2,1985,0.6738037759424561,0.73444146,0.060637683236468454,0.08999308908823482
train,1987,3,1984,0.2693247221242179,0.49353895,0.22421422378909694,0.8325051707835883
train,1987,4,1983,1.1211302447306122,1.0668527,0.054277555941244504,0.048413247431602406
train,1987,5,1982,2.2990719827010366,1.9514557,0.3476162703826162,0.15119851531315356
train,1987,6,1981,2.6410915102993764,3.242978,0.6018865857089244,0.22789312046233137
train,1987,7,1980,4.7282391313330185,4.8575044,0.1292652364953506,0.027338980306370397
train,1987,8,1979,6.215871470403572,5.3844485,0.8314229421137771,0.13375806531270865
train,1987,9,1978,6.709270534561129,6.9975615,0.28829092021182046,0.042969040930264914
train,1987,10,1977,9.531475896979964,7.5221653,2.0093105985180504,0.21080791896609496
train,1987,11,1976,13.352841740415077,12.108946,1.2438958938574594,0.09315589280837978
train,1987,12,1975,14.63378941977025,15.197713,0.5639234784841438,0.038535710902211334
train,1987,13,1974,19.01926853622234,22.380774,3.361505008089182,0.1767420761575028
train,1987,14,1973,26.149672263850196,29.666876,3.5172035753832027,0.13450277846293765
train,1987,15,1972,36.62727439214884,37.993343,1.366068961122643,0.03729649513356709
train,1987,16,1971,41.99934001037126,41.543068,0.4562720782423568,0.010863791624574926
train,1987,17,1970,28.6206528875994,31.820507,3.199854161961145,0.1118022769965338
train,1988,1,1987,1.4045806887712553,1.7215871,0.31700637311076374,0.22569466862587947
train,1988,2,1986,0.4504504504504504,0.681339,0.23088857504698612,0.5125726366031713
train,1988,3,1985,0.47199951384050065,0.3849837,0.08701582524758988,0.1843557518510711
train,1988,4,1984,1.1264199360497913,1.0347788,0.09164110266050907,0.08135607310165441
train,1988,5,1983,1.8497337924783657,1.9397718,0.09003797895260357,0.04867618211803197
train,1988,6,1982,2.8107411444515287,2.895336,0.0845947682529391,0.030096961586057517
train,1988,7,1981,4.2372271256584675,4.641242,0.40401490162424736,0.09534888964947043
train,1988,8,1980,5.445535568423154,5.42684,0.0186957399319434,0.003433223361968349
train,1988,9,1979,5.782381022847245,6.5953774,0.8129964223737023,0.14059890193352256
train,1988,10,1978,7.829645518613238,7.81646,0.013185386014360923,0.0016840335853026706
train,1988,11,1977,9.95255329499275,12.041854,2.089300609731371,0.2099260911049141
train,1988,12,1976,14.790857278087838,14.440705,0.3501519787103966,0.02367354184595584
train,1988,13,1975,17.860381658357205,20.441244,2.5808624670090055,0.14450208939411033
train,1988,14,1974,27.08554021738929,27.663174,0.5776334581478189,0.021326266838752175
train,1988,15,1973,31.382722765027093,35.887886,4.505163282336188,0.14355552627054394
train,1988,16,1972,43.01586261143157,41.05099,1.964871553081963,0.045677836821055584
train,1988,17,1971,32.397153762782146,28.962543,3.434610275233318,0.10601580312832581
train,1989,1,1988,1.143998583431319,1.5072047,0.36320606840126146,0.3174882151615438
train,1989,2,1987,0.2616409966324187,0.5687271,0.3070860794212007,1.1736925152118056
train,1989,3,1986,0.20263453847812773,0.38638142,0.18374687903476594,0.9067895355543877
train,1989,4,1985,0.7642186704734946,1.0094142,0.24519552554090973,0.3208447202535246
train,1989,5,1984,1.5054780968298933,1.8126879,0.3072097770104387,0.20406127306476968
train,1989,6,1983,2.64529535894649,2.7386777,0.09338238115055608,0.03530130608466764
train,1989,7,1982,3.3407240223908046,4.3016224,0.9608983683562657,0.2876317714111286
train,1989,8,1981,4.917471679501592,5.261469,0.34399720782750975,0.06995408011425609
train,1989,9,1980,5.157186239187899,6.012455,0.8552687473843665,0.165840190312553
train,1989,10,1979,8.312010405738432,7.579825,0.7321854812694379,0.0880876521477722
train,1989,11,1978,10.304671755168297,10.7768955,0.47222376790299236,0.045826182446432925
train,1989,12,1977,12.2016744122325,14.074796,1.8731213107289264,0.15351346441853256
train,1989,13,1976,14.546793966683838,18.751358,4.2045640655427245,0.2890371634582881
train,1989,14,1975,21.34039180242025,26.693024,5.352631879220375,0.2508216310542655
train,1989,15,1974,28.74606632776567,32.753544,4.007477525994094,0.13940959713584025
train,1989,16,1973,31.763460256460533,40.890266,9.126806161996498,0.28733664683588317
train,1989,17,1972,30.573466511353455,29.242079,1.3313877302255257,0.043547163018988096
train,1990,1,1989,1.0341928789418138,1.2940348,0.25984195973463886,0.25125096587423607
train,1990,2,1988,0.4148893412335179,0.42459378,0.009704435230944386,0.023390418278928297
train,1990,3,1987,0.3683451019593409,0.29495692,0.07338817942821296,0.19923756020546882
train,1990,4,1986,0.6124126240288666,0.880284,0.2678713873351165,0.4374034381793749
train,1990,5,1985,1.3524425265716535,1.6284914,0.27604887510070975,0.204111353848263
train,1990,6,1984,1.9052161533423075,2.571224,0.6660078208855977,0.34957074015821
train,1990,7,1983,2.657323158994962,3.7317905,1.074467383607577,0.40434200859994457
train,1990,8,1982,3.7151662019573752,4.96998,1.2548135610736306,0.3377543541422671
train,1990,9,1981,3.9360780917893408,5.4200335,1.4839553631056788,0.377013699550533
train,1990,10,1980,5.70885971669603,7.600875,1.892015184121841,0.33141735443036996
train,1990,11,1979,7.309120534528463,10.20336,2.8942390693533726,0.3959763771414797
train,1990,12,1978,9.758749033306716,12.945157,3.1864080177797103,0.3265180820722143
