dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1979,1,1978,4.902390601753039,4.830243220784226,0.07214738096881312,0.014716775310192404
train,1979,2,1977,1.207790306392834,1.178353953189399,0.029436353203434962,0.024372072741107437
train,1979,3,1976,0.9103304000138606,0.8118692202142915,0.09846117979956903,0.10815982834140409
train,1979,4,1975,1.5202285410240006,1.5867431499389006,0.06651460891490002,0.04375303259998864
train,1979,5,1974,3.357188019315022,3.295529375623687,0.06165864369133489,0.0183661574319263
train,1979,6,1973,4.63600539958276,4.4516480828377905,0.18435731674496925,0.03976641544928348
train,1979,7,1972,4.884856168740695,5.432096011680532,0.5472398429398364,0.11202783132933095
train,1979,8,1971,8.023557714067834,7.33922606171577,0.6843316523520642,0.08529030097859569
train,1979,9,1970,8.199255015689275,8.721694594231186,0.5224395785419116,0.06371793260999441
train,1979,10,1969,10.448622429144692,10.832126068236285,0.38350363909159313,0.036703751302357035
train,1979,11,1968,16.455734075337343,15.575204255031762,0.8805298203055809,0.05350899669831208
train,1979,12,1967,17.85788078610096,18.621593550608157,0.763712764507197,0.04276614754319352
train,1979,13,1966,25.13175693156031,25.17076238863197,0.03900545707166003,0.0015520386090745475
train,1979,14,1965,31.9888399836448,31.638754676160413,0.35008530748438815,0.010943982578404475
train,1979,15,1964,40.05798223190856,42.826344272920366,2.7683620410118053,0.06910887385652119
train,1979,16,1963,37.44803492621789,40.243103494017,2.795068567799106,0.07463859113852099
train,1979,17,1962,50.671518263462936,48.298840928029804,2.3726773354331314,0.046824674230136906
train,1980,1,1979,4.247332661298663,4.428030411339343,0.18069775004067967,0.04254381854455145
train,1980,2,1978,1.1236845498105703,1.153363911848099,0.029679362037528634,0.02641253903731749
train,1980,3,1977,0.5582206511085674,0.674159544320929,0.1159388932123615,0.2076936655458937
train,1980,4,1976,1.335331569039437,1.4589870472151425,0.12365547817570555,0.09260282692527354
train,1980,5,1975,3.83592795258793,3.275510510872443,0.560417441715487,0.14609696757658136
train,1980,6,1974,4.800042980201364,4.503907380872466,0.2961355993288981,0.061694364102634215
train,1980,7,1973,5.312783415529427,5.740002918390916,0.42721950286148846,0.08041349880980136
train,1980,8,1972,7.222197191161621,7.292872872617492,0.07067568145587089,0.009785897502542934
train,1980,9,1971,9.70474321329662,9.225585836797134,0.47915737649948653,0.04937352446821428
train,1980,10,1970,11.7063314661581,11.329206988358525,0.37712447779957436,0.03221542794083471
train,1980,11,1969,16.470357807394745,16.271758981209075,0.1985988261856697,0.01205795456954142
train,1980,12,1968,19.26534806062163,19.605556245292217,0.3402081846705869,0.017659072838967015
train,1980,13,1967,28.463134835994698,25.777689280549108,2.6854455554455896,0.09434820060822888
train,1980,14,1966,30.251834890139296,33.366471980296375,3.1146370901570783,0.10295696447729204
train,1980,15,1965,45.5125008784582,43.49912530303449,2.0133755754237086,0.044237858534744406
train,1980,16,1964,54.84075089643535,51.916604323262426,2.9241465731729264,0.053320688090048425
train,1980,17,1963,46.75424684408834,48.19476108134918,1.4405142372608353,0.030810339904832507
train,1981,1,1980,4.42056195919306,4.489795501480577,0.06923354228751677,0.01566170611940459
train,1981,2,1979,1.3014232246073103,1.2444668916756398,0.05695633293167046,0.043764650772090394
train,1981,3,1978,1.031644060397749,0.8751775616386932,0.15646649875905583,0.15166713478540136
train,1981,4,1977,1.711484642634366,1.6563852217418773,0.05509942089248865,0.032193932402248056
train,1981,5,1976,3.1638828013440174,3.262783024894592,0.09890022355057448,0.031259129923690725
train,1981,6,1975,4.94333910624429,4.542003294253431,0.401335811990859,0.0811871901492296
train,1981,7,1974,5.19557171031986,5.974530606234703,0.778958895914843,0.14992746503093446
train,1981,8,1973,7.931035806068266,7.552262240024821,0.3787735660434448,0.04775839818470954
train,1981,9,1972,9.622214642663804,9.181243695519303,0.4409709471445016,0.045828425525787045
train,1981,10,1971,11.034093540171336,11.786207577257901,0.7521140370865655,0.06816273890993484
train,1981,11,1970,14.776688641148654,16.73437996101506,1.957691319866404,0.13248511675441868
train,1981,12,1969,18.859690783668334,20.06056040988762,1.200869626219287,0.06367387673498465
train,1981,13,1968,28.224767320978714,26.526230765792604,1.6985365551861094,0.060178939151911894
train,1981,14,1967,32.512468757549556,33.25788491053085,0.7454161529812922,0.022927085560310763
train,1981,15,1966,47.849869396075654,45.35992230507023,2.489947091005426,0.052036653859907585
train,1981,16,1965,48.26501204304868,49.05965269937438,0.7946406563257042,0.016464113913758675
train,1981,17,1964,65.51477139712433,60.86492716886046,4.6498442282638734,0.07097398234175782
train,1982,1,1981,3.948396590826327,3.830492150394437,0.1179044404318903,0.029861346934043725
train,1982,2,1980,1.030616980327583,1.0141063414744358,0.016510638853147297,0.016020150228733224
train,1982,3,1979,0.8593560163811036,0.7694319415138386,0.08992407486726495,0.10464123500972984
train,1982,4,1978,1.3588195541984809,1.5601304271149579,0.20131087291647698,0.14815129227005783
train,1982,5,1977,3.1476601594495155,3.0463295091522435,0.10133065029727195,0.032192373116595015
train,1982,6,1976,3.7938238197702754,4.101580947569707,0.307757127799432,0.08112056395333252
train,1982,7,1975,5.282078060058737,5.764626794099669,0.48254873404093246,0.0913558505864783
train,1982,8,1974,7.592681642562474,7.151210609740768,0.4414710328217062,0.058144283351337096
train,1982,9,1973,9.80958008153358,8.926510216104548,0.8830698654290323,0.09002116890725129
train,1982,10,1972,10.04740954663954,11.006979456868615,0.9595699102290745,0.09550420989357569
train,1982,11,1971,18.3265455299461,16.442978368492916,1.8835671614531826,0.10277807993739341
train,1982,12,1970,19.877870364480632,19.48563081446362,0.39223955001701327,0.019732473490614896
train,1982,13,1969,24.884864888819195,25.635141681180148,0.7502767923609532,0.030149924289845094
train,1982,14,1968,31.617706794074316,32.16725421043349,0.5495474163591751,0.01738100172597439
train,1982,15,1967,46.4358866709922,42.01337723044607,4.422509440546129,0.09523904371376436
train,1982,16,1966,43.31737349253236,46.209349563336204,2.8919760708038424,0.0667624982226204
train,1982,17,1965,40.50476452951837,44.701584782903765,4.196820253385397,0.103613002127856
train,1983,1,1982,2.7878779908867948,2.81470635082633,0.02682835993953514,0.009623218816326929
train,1983,2,1981,0.6414605707307955,0.7730555766858037,0.13159500595500817,0.20514901766273963
train,1983,3,1980,0.5964869898731422,0.5913674546114629,0.005119535261679298,0.008582811274323874
train,1983,4,1979,1.2299359203385505,1.3430400178495936,0.11310409751104311,0.0919593416540093
train,1983,5,1978,2.665127111571882,2.6685602381104214,0.003433126538539444,0.0012881661529882192
train,1983,6,1977,3.551928597455143,3.6587364471252593,0.10680784967011636,0.03007038197406646
train,1983,7,1976,5.699226951011004,5.2396564414972815,0.45957050951372214,0.08063734142612392
train,1983,8,1975,6.077241742547782,6.195333023576473,0.11809128102869071,0.019431723474466145
train,1983,9,1974,9.211835366078338,8.000875875655199,1.2109594904231393,0.13145691844236004
train,1983,10,1973,11.2760759255779,10.143760140736227,1.1323157848416727,0.1004175381857001
train,1983,11,1972,15.3887075421992,15.068928606729608,0.319778935469591,0.02078010350074342
train,1983,12,1971,19.251928699015856,19.027107977706596,0.22482072130926056,0.011677828482750488
train,1983,13,1970,24.809586424194308,25.243669806535625,0.43408338234131705,0.017496598892030764
train,1983,14,1969,28.464053966134195,31.786254033814696,3.3222000676805017,0.11671563269353881
train,1983,15,1968,47.96573352438156,41.25687104436745,6.708862480014112,0.13986781785800848
train,1983,16,1967,38.16899206268912,42.68786334055901,4.518871277869891,0.11839116082625224
train,1983,17,1966,57.306819912316556,48.28211622565473,9.024703686661823,0.15748044823408616
train,1984,1,1983,2.2064843643326215,2.4706630398192257,0.26417867548660423,0.11972832427769711
train,1984,2,1982,0.9479013320886144,0.8323555433159004,0.11554578877271393,0.1218964304206614
train,1984,3,1981,0.6601180951272183,0.5719683508284413,0.08814974429877698,0.13353632471119456
train,1984,4,1980,1.3762376415355702,1.2869428224950912,0.08929481904047898,0.06488328493964259
train,1984,5,1979,2.6021684520252837,2.564947520906986,0.03722093111829761,0.014303813071484293
train,1984,6,1978,3.747908705580521,3.4344978466314964,0.31341085894902454,0.08362286372725189
train,1984,7,1977,5.2815365498834055,4.993249065008147,0.28828748487525857,0.05458401776686903
train,1984,8,1976,5.291702208307857,5.822355367096495,0.5306531587886383,0.10028023836175515
train,1984,9,1975,6.1278002622128485,7.10726753881402,0.9794672766011718,0.15983994821778189
train,1984,10,1974,8.403945051920086,9.243737641143712,0.8397925892236255,0.09992837697477026
train,1984,11,1973,13.726303476633952,13.605508077642627,0.12079539899132463,0.008800286194818856
train,1984,12,1972,15.109544195416772,17.133243387280263,2.023699191863491,0.13393515818148985
train,1984,13,1971,22.5584118878031,23.971770609190305,1.4133587213872048,0.06265328997522729
train,1984,14,1970,29.397783282043584,30.087833683749828,0.6900504017062445,0.023472871919826343
train,1984,15,1969,44.90899324603964,39.63406490059707,5.274928345442575,0.11745817405754545
train,1984,16,1968,38.250146853242384,40.57152636114522,2.321379507902833,0.06068942733238144
train,1984,17,1967,34.84792751631076,35.92724306964809,1.0793155533373309,0.03097215904251753
train,1985,1,1984,2.403795746918155,2.3218188255259946,0.0819769213921604,0.034103114416949444
train,1985,2,1983,0.928305033157368,0.8503238231284475,0.07798121002892056,0.08400386429405153
train,1985,3,1982,0.4240761349943386,0.5300580390848842,0.10598190409054564,0.2499124457727634
train,1985,4,1981,1.5365782451252057,1.26063556115867,0.27594268396653576,0.179582578916358
train,1985,5,1980,1.9183726061507507,2.5077099222712906,0.58933731612054,0.30720690768346026
train,1985,6,1979,3.0329819941968945,3.486086813959619,0.45310481976272454,0.149392518857519
train,1985,7,1978,5.533763503411953,5.0736661928194415,0.4600973105925119,0.08314365265316208
train,1985,8,1977,6.226332224747034,6.149644560764495,0.0766876639825389,0.012316667536262456
train,1985,9,1976,8.47640744839987,7.542831475120905,0.9335759732789652,0.11013816631184836
train,1985,10,1975,7.623332819464232,9.123673370101837,1.5003405506376053,0.19680900547942395
train,1985,11,1974,12.787145181311882,13.341481306823486,0.5543361255116039,0.04335104651206354
train,1985,12,1973,17.863501270226816,17.227358350009915,0.6361429202169013,0.03561132336789587
train,1985,13,1972,27.93727691147941,24.77976807157145,3.157508839907962,0.11302135315165346
train,1985,14,1971,37.38240972764244,32.94467579730754,4.4377339303349,0.11871182095180176
train,1985,15,1970,46.36188764873239,42.41606849813095,3.9458191506014444,0.08510911334105793
