year,k2_lo,k2_med,k2_hi
1979,-0.28331358768122494,-0.02870858906809365,0.24590888498987346
1980,-0.09577373700470812,0.1388635374729424,0.34460878159692704
1981,-0.24775392416949482,-0.017646747617919015,0.19342552901165783
1982,-0.12814988061633248,0.062012335768821876,0.2546705929846132
1983,0.2122763526085301,0.37072770578416364,0.491573375524894
1984,-0.32253253532911663,-0.1426216546634949,0.04596682581433947
1985,-0.24434698872552188,0.030943244080863293,0.27836946139573104
1986,-0.2029466803510738,-0.004945346281557066,0.15437033782541662
1987,-0.22911022326947328,0.07482319604010546,0.3850162325796717
1988,-0.007552612353056304,0.1789137077574776,0.3263335609304658
1989,0.22413845624372028,0.44318514722274077,0.6476099756262408
1990,-0.5177799849403344,-0.3501757014942851,-0.1278864482602552
1991,-0.4154311356002557,-0.27662302909356723,-0.13941812384367744
1992,0.3351499622802301,0.4561443352079251,0.5806506175542121
1993,-0.33305484674974156,-0.12864985327622072,0.08730887981725793
1994,-0.28491241268500167,-0.040709807274515446,0.17696253980814777
1995,0.048546594319496615,0.24739842620250796,0.41948585570381125
1996,-0.16643609845519008,0.07769846147168608,0.3244306826653337
1997,-0.5931733799020124,-0.33297210540816813,-0.08393951240162788
1998,-0.17074743657839153,0.05165324809967353,0.29005348756392485
1999,0.31236886086339105,0.5807226228378366,0.9237617856123705
2000,-0.07571632386518884,0.08179742343600815,0.25324968395635883
2001,-0.6143716484505728,-0.3781798712800135,-0.11023777358035712
2002,-0.8112544656658618,-0.12748386123792377,0.5253478485856494
2003,-0.5095991797161072,-0.19724034655776934,0.12055441952731596
2004,0.4572755189828608,0.752252713756581,1.0273201894784423
2005,-1.2721106898812162,-1.0449355408870193,-0.8433680213203216
2006,-0.5375745777343057,-0.26407099192770284,0.0979287051953526
2007,-0.6394214023958389,-0.42538090815128937,-0.17753473674134002
2008,-0.2969662973729759,0.04667430240398229,0.3391899737367515
2009,-1.00328106130034,-0.7616632429087153,-0.5250687480704223
2010,-1.4453484834040304,-1.1031003417949066,-0.7920479834547941
2011,-0.7807096463006858,-0.5169900969340044,-0.20570624376912927
2012,0.710197312620358,0.9441311478484496,1.1635933000552292
2013,-0.07735891366613128,0.3884271645012538,0.7626764460454418
2014,-0.37332232344241345,-0.17330906174658745,-0.028599713186783608
2015,-1.0675056462900627,-0.8591843010701172,-0.6063674037820437
2016,-0.025725848609808245,0.1770038547490995,0.36738502713716725
2017,-0.0040324099168896855,0.6193909606295732,1.0819482344288394
2018,0.12049150812043423,0.378987444932149,0.5926013254444076
2019,-0.28649618846385955,-0.04435176863501329,0.18965828179866925
2020,-1.0127064108423138,-0.730228736623076,-0.4097155452285465
2021,0.27380080073044355,0.6435850947414293,0.9329061543767478
2022,1.1195121170476445,1.4101189811962034,1.6081299491103578
2023,-0.5733080643933363,-0.1349017687227959,0.27715894015616516
