year,N,MAE_x100k,MAPE_%,SMAPE_%,MSE_x100k,RMSE_x100k,MSE_logm,RMSE_logm
1979,4,2.0270361818433393,17.10475092887433,19.279629723305,5.285962149877523,2.299122038926495,0.06064482344367439,0.24626169706975218
1980,4,0.9836658384222187,12.066267620337966,13.293983342380166,0.9975584539088516,0.9987784808999699,0.02991225454634732,0.17295159596357393
1981,4,5.26287645832252,18.81496757105415,20.661261148355447,74.6783767048374,8.641665158106822,0.04932210281506494,0.22208580057055638
1982,4,1.9456543273537288,11.300544650648032,11.752735925224442,10.632017785022876,3.260677503989451,0.023716364013022864,0.15400118185592884
1983,4,3.315322368571099,9.377300334524286,10.065951236767374,34.58400853522287,5.880816995556219,0.01583995621694868,0.1258568878407085
1984,4,2.271780862143002,11.165129805586005,10.788356242583777,14.484671840751695,3.805873334827592,0.015604486724707003,0.12491791995028977
1985,4,3.789879604182389,16.298156656119232,14.038143660185234,47.12648987812731,6.864873624337691,0.039851860158312526,0.19962930686227542
1986,4,2.5295809317009734,15.307048123251043,15.39388127867002,18.6780086879994,4.321806183530145,0.03669647573860791,0.1915632421384852
1987,4,3.1941331190482884,18.89748462424679,16.52376199244438,34.507061714855375,5.874271164566323,0.04153983513210148,0.2038132359099906
1988,4,2.163355737254774,13.301294022498883,12.46885794678615,12.373274011687087,3.5175664900165122,0.020231745024419864,0.1422383387994245
1989,4,1.8424103328603438,12.49657209734665,12.27217932560849,8.953308823550728,2.9922080180947863,0.016370932958150872,0.12794894668636733
1990,4,0.2895423818897285,2.970460317153415,2.9439464421148083,0.2146597133072633,0.46331383889029615,0.0009749055615347319,0.031223477729662528
1991,4,0.7098982448718042,9.273036729556368,8.824306539590507,1.415449191614109,1.1897265196733697,0.010663460945889068,0.10326403510365585
1992,4,0.2700265006195942,5.028735314973775,4.961714868382618,0.12213271330703794,0.34947491084058946,0.003356056830458928,0.05793148393109681
1993,4,1.3814690840830601,18.47812620451665,17.06563280193914,4.213129493050948,2.0525909219937,0.034478642343553564,0.18568425443088482
1994,4,0.6367316637152747,16.719872557950207,15.001093937961246,0.5731543068278833,0.7570695521733015,0.038728917015280584,0.19679663872963019
1995,4,1.3012946663042437,17.610587231236813,16.363935635689952,3.7863898389532595,1.945864804901219,0.036834524728527426,0.1919232261309908
1996,4,1.555272503174588,22.545188358234334,19.093491634765876,6.479106808571259,2.5454089668599935,0.06575949083939273,0.25643613403612353
1997,4,1.7780308671489564,31.553987704877525,26.359239792876828,9.514310967317934,3.084527673294233,0.10073253113441642,0.3173838860660957
1998,4,1.2543171732209977,20.32210332730445,17.965594398070106,4.790169274923003,2.1886455343255116,0.048469711910640575,0.22015837915155664
1999,4,2.611985777740999,18.164537543091484,18.476931415308904,23.84509809457637,4.883144283612391,0.044925101060432154,0.21195542234260523
2000,4,2.2764313232672975,11.659518368761432,12.631910818860707,17.53360950568807,4.187315310039127,0.02275410569050936,0.1508446409074892
2001,4,1.2111862439666172,16.653900771461032,14.401510617320296,4.798443576635312,2.1905349978111084,0.0455814784125377,0.21349819299595418
2002,4,1.4919325738978202,30.751306522228866,25.77132776433229,4.190283382245967,2.0470181685187767,0.09688860429880762,0.3112693436540252
2003,4,2.179161566566577,18.023050834650206,17.12545000163308,13.815955794396482,3.7169820815274965,0.03939415460120164,0.19847960751976923
2004,4,1.1116589968140929,13.50087464434758,13.680903162515378,3.0635425744252145,1.7502978530596485,0.01984004242980303,0.14085468550887126
2005,4,1.0020117301867186,21.735817206225942,20.353665222496346,2.1650304370993845,1.471404239867272,0.05130638172017921,0.22650912061146503
2006,4,0.1578944590187528,10.126976028437475,12.241241335025059,0.0354204714692605,0.18820327167523018,0.05370238101482832,0.2317377418868759
2007,4,0.3737607432746455,6.134259158109509,6.345961371399826,0.28606394467099333,0.5348494598211663,0.0067414995117967514,0.0821066350047105
2008,4,0.8457578762499187,15.46033952754264,17.95908274571203,1.447986876208068,1.2033232633868873,0.06868517861635229,0.2620785733637
2009,4,0.2773739113318198,9.167352930840673,9.884968938415087,0.11439215402495731,0.3382190917511271,0.015846412604680952,0.12588253494699314
2010,4,0.882541611119076,12.602822716385601,12.58810341228878,2.4936340893176823,1.5791244692289719,0.020279829633618053,0.14240726678655852
2011,4,0.8488058723585883,11.49187465831783,11.419569794941264,2.1176577310402895,1.4552174171031247,0.01607131321460804,0.1267726832350252
2012,4,0.71915894662731,12.185368696405922,12.018806431816758,1.587019702585571,1.2597697022017837,0.016568404336547018,0.12871831391277241
2013,4,0.8001522984781907,23.61387742484914,28.046838073794987,1.3083182424633593,1.1438173990910259,0.13513454609740666,0.36760650986810156
2014,4,0.5357492002100588,7.860684046325781,8.153079120692098,0.6009944579907719,0.775238323350163,0.0087556467092386,0.0935716127318462
2015,4,0.25539110314233526,14.005723151071575,14.751299621842342,0.08255105345789607,0.28731699124468096,0.03368988454195136,0.18354804423352314
2016,4,0.7709441619261286,14.674838906840188,13.267445489095758,1.7830720977864838,1.3353172273982252,0.025109174070837195,0.15845874564326576
2017,4,0.31259432669500914,14.66806483180439,15.781128276082551,0.1538132561878714,0.392190331583877,0.04956622151941304,0.22263472666997178
2018,4,1.1704029013087829,10.136510707954887,9.729626221659421,4.672669615268305,2.1616358655583747,0.014650708404664519,0.12104011072642208
