year,k1_lo,k1_med,k1_hi
1979,15.868279527556922,17.494084923660097,19.111324651882384
1980,16.28995617512528,17.302598100956896,18.337300025690976
1981,17.081141000639498,18.35948223349348,19.81834991188853
1982,15.920287897160122,16.96214450981806,17.95422078026827
1983,13.986077666413813,14.769059143116774,15.507864620434582
1984,12.868204978313452,13.822272639253454,14.730461445082158
1985,12.895116380487586,14.023855229244138,15.261516021041361
1986,10.817001692934474,11.679558008863204,12.602510238125364
1987,9.626283829370827,10.799270188778117,12.085115116960429
1988,8.842260693882142,9.737158730080832,10.64020643078221
1989,4.796474734936417,5.864479785212016,7.009270084372021
1990,4.050625530107026,4.847451388941586,5.683513299259217
1991,3.8006103038662924,4.610617079122303,5.501349970213621
1992,2.1833517277445296,2.873323802575591,3.5902828733794667
1993,3.307847879948802,4.268087960859928,5.524330343171451
1994,1.2369059994052978,2.3578496835417835,3.633829016222745
1995,0.7688119788349117,1.8168202849830266,2.9954806986195113
1996,-0.20695653290212987,1.0502003470461092,2.5727524595342754
1997,-2.6298339246314404,-1.157516209255793,0.3284172175513303
1998,-0.18958933308247344,0.9910228491002082,2.140631392785368
1999,-0.8213957840967208,0.6181748325772585,1.9890324551346068
2000,-1.9780448069619696,-1.0978313161953768,-0.24083551184574956
2001,-0.36015014253526445,0.916696958002402,2.187313555790419
2002,-2.654942196356049,0.07157092905240081,2.329933337699126
2003,-2.020707068114299,-0.9345187733488345,0.44491792247003176
2004,-5.708950015814436,-4.428526994108989,-3.028725625868437
2005,-4.587338239286345,-3.4931355941495967,-2.2749935054654937
2006,-6.423357367220236,-4.75732011970274,-3.0020876492396273
2007,-4.3894060877493155,-3.4221114530492627,-2.2687963188718037
2008,-6.059907795193925,-4.4960216858987,-2.896155396252361
2009,-6.433749667745139,-5.206279839345969,-4.277532615416144
2010,-8.401969286706679,-7.154981563645788,-5.712010719954387
2011,-11.399869235347493,-10.096597919368946,-8.9304871379941
2012,-14.168199151875932,-13.182723231703434,-12.061764047412495
2013,-13.38661932436155,-11.334892759233506,-9.178400102886908
2014,-11.703984495485253,-10.733852014457302,-9.912435146891703
2015,-11.596870885332274,-10.698941162206332,-9.78992249798054
2016,-12.262771263334143,-11.453872530589633,-10.688065837581256
2017,-15.45220881993881,-13.589727430503102,-11.859431354068349
2018,-11.584783617262048,-10.262004395666676,-9.383284594277455
2019,-10.93971793043271,-9.891541226176017,-8.801541645956668
2020,-13.21290829527303,-11.478417639328782,-9.856901527866588
2021,-12.223678739664756,-10.731379146671898,-9.094658167884367
2022,-10.745975482034341,-9.523295927028588,-8.213498754378778
2023,-7.699667128066749,-5.976330126434096,-4.342145642899761
