age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct,clasif_30pct
6,25–29,2003,1.1077547899317115,1.4783768123837668,train,0.37062202245205533,33.45704535160734,sobreestimada
6,25–29,2004,1.2114186457830518,1.3552563960138602,train,0.14383775023080836,11.873496477168116,en rango
6,25–29,2005,0.8205033453744732,1.1688781484715371,train,0.3483748030970639,42.458669432733096,sobreestimada
6,25–29,2006,1.1881395160945378,1.1881979867274972,train,5.847063295938426e-05,0.004921192517153169,en rango
6,25–29,2007,1.279803422194351,1.2498468299315275,train,0.029956592262823545,2.340718249640243,en rango
6,25–29,2008,1.2579490227594428,1.2401633475533897,train,0.01778567520605301,1.4138629534476899,en rango
6,25–29,2009,1.1569570224328325,1.09014179363236,train,0.06681522880047241,5.7750830415441285,en rango
6,25–29,2010,1.17387884787704,0.9529501141569084,train,0.22092873372013166,18.820403325239337,en rango
6,25–29,2011,0.8881879605566828,0.8634746596013193,train,0.024713300955363504,2.782440435228838,en rango
6,25–29,2012,0.7449926149158007,0.8690995057006003,train,0.12410689078479964,16.658808194874016,en rango
6,25–29,2013,1.1786634504687243,0.8978726185263046,train,0.2807908319424197,23.82281658354269,en rango
6,25–29,2014,0.9508135976124256,0.8650083707849753,train,0.08580522682745029,9.024400475857156,en rango
6,25–29,2015,1.1003958204282849,0.8077031151932113,train,0.2926927052350736,26.598856502486058,en rango
6,25–29,2016,0.6600783803471959,0.8682201463479902,train,0.20814176600079426,31.53288642650489,sobreestimada
6,25–29,2017,1.191305849907376,0.7981076801814178,train,0.39319816972595834,33.00564416405153,subestimada
6,25–29,2018,1.044677186914165,0.9336945601473567,train,0.11098262676680815,10.623628825918543,en rango
6,25–29,2019,1.2002355462259469,0.8994067397734936,test,0.30082880645245325,25.064147399932246,en rango
6,25–29,2020,1.2925385816782655,0.8663780620316741,test,0.4261605196465914,32.97081616652817,subestimada
6,25–29,2021,1.2585813690335377,0.8345622877573659,test,0.4240190812761718,33.69023979766801,subestimada
6,25–29,2022,1.44480368328619,0.8039148758147387,test,0.6408888074714512,44.35819308085903,subestimada
6,25–29,2023,2.1329688225762498,0.7743929207404133,test,1.3585759018358363,63.69412845870463,subestimada
7,30–34,1979,4.884856168740695,5.583910391650247,train,0.6990542229095515,14.31064086150496,en rango
7,30–34,1980,5.312783415529427,5.818953410803585,train,0.5061699952741581,9.527397518118427,en rango
7,30–34,1981,5.19557171031986,5.938917962300176,train,0.7433462519803165,14.307304247265467,en rango
7,30–34,1982,5.282078060058737,5.579196029989394,train,0.29711796993065676,5.625020428557483,en rango
7,30–34,1983,5.699226951011004,5.278115319716093,train,0.42111163129491036,7.388925461552431,en rango
7,30–34,1984,5.2815365498834055,4.502971804526316,train,0.7785647453570892,14.741254519468896,en rango
7,30–34,1985,5.533763503411953,4.806617906054237,train,0.7271455973577163,13.140163957302839,en rango
7,30–34,1986,5.119405725260913,4.146768668436531,train,0.9726370568243823,18.9990227190835,en rango
7,30–34,1987,4.7282391313330185,4.086312780328329,train,0.64192635100469,13.576435818374389,en rango
7,30–34,1988,4.2372271256584675,3.8668322721010995,train,0.370394853557368,8.741444406282763,en rango
7,30–34,1989,3.3407240223908046,3.3276558549104185,train,0.013068167480386084,0.39117770258178314,en rango
7,30–34,1990,2.657323158994962,2.675953786877467,train,0.018630627882505024,0.7011050883834316,en rango
7,30–34,1991,3.0261628591186693,2.6738608217382964,train,0.3523020373803729,11.64187301812885,en rango
7,30–34,1992,2.7961606172760605,2.7982040614537675,train,0.0020434441777070766,0.07308035758324002,en rango
7,30–34,1993,2.829443614670806,2.7612992580814573,train,0.06814435658934892,2.4084012926080955,en rango
7,30–34,1994,2.627620230048151,2.518712743290251,train,0.10890748675790007,4.144719450417092,en rango
7,30–34,1995,2.611692240899779,2.548257464210087,train,0.06343477668969211,2.428876408034876,en rango
7,30–34,1996,2.3718689659319443,2.386951014510185,train,0.015082048578240581,0.6358719134517876,en rango
7,30–34,1997,1.9163721621171552,1.961614211349055,train,0.04524204923189967,2.360817492877662,en rango
7,30–34,1998,2.428585634390873,2.3630946133172186,train,0.06549102107365457,2.6966733289633713,en rango
7,30–34,1999,2.1928338843237576,2.501554522481404,train,0.3087206381576464,14.078614908527461,en rango
7,30–34,2000,1.6049534760016875,2.094056085875513,train,0.4891026098738256,30.474566221838028,sobreestimada
7,30–34,2001,1.9065300626919677,2.140556012618826,train,0.23402594992685843,12.274967728356733,en rango
7,30–34,2002,2.280628342855783,2.1469715355720926,train,0.13365680728369034,5.860525574119913,en rango
7,30–34,2003,1.6296243084073982,2.007877635454801,train,0.37825332704740267,23.211075405291584,en rango
7,30–34,2004,1.437202281876144,1.963427521284885,train,0.526225239408741,36.61455635331995,sobreestimada
7,30–34,2005,1.3395107102253223,1.4937324149253626,train,0.15422170470004026,11.513286420389894,en rango
7,30–34,2006,1.668527074354572,1.6016118727267323,train,0.0669152016278396,4.0104354706814735,en rango
