age,b1_lo,b1_med,b1_hi
1,0.07751189929315569,0.08420423541675966,0.09137587195013892
2,0.0980907350297912,0.10091855970370806,0.10405236274902038
3,0.06080293314796996,0.07166389245873761,0.08122187127355479
4,0.04702108348495128,0.0514081492749658,0.0554521046626689
5,0.045854441819476066,0.05080327157226078,0.05479419387602193
6,0.0429491863792007,0.04973659914340636,0.05616098729022334
7,0.04853969572667456,0.05264469063496314,0.05642634477116915
8,0.05896990208780619,0.06273700426262947,0.06643040231672286
9,0.05666834166340602,0.059989634825018734,0.06341047935180971
10,0.05422308483439785,0.0590418629634822,0.06358335205326116
11,0.057989210112981755,0.061965149584577335,0.06599125580093003
12,0.05440440288033693,0.05702975491061086,0.06025291748691292
13,0.054707991377557524,0.057512255401430304,0.060011571724286804
14,0.04943613337414468,0.05327931334902105,0.05677704220777027
15,0.05077386852035054,0.05408640947351159,0.05741113387764054
16,0.03723613687681097,0.04283836020953542,0.04837457336705078
17,0.024647570206034974,0.0303990251596988,0.03514439612160152
