dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1989,1,1.1439985834313198,2.015072822570801,0.871074239139481,0.7614294735628182
train,1989,2,0.26164099663241885,0.6926984786987305,0.4310574820663116,1.6475150592330896
train,1989,3,0.20263453847812776,0.4635811746120453,0.26094663613391755,1.287769785409984
train,1989,4,0.7642186704734947,0.9930352568626404,0.2288165863891457,0.2994124525210515
train,1989,5,1.5054780968298922,1.8605051040649414,0.3550270072350492,0.2358234291036177
train,1989,6,2.645295358946491,2.791569471359253,0.14627411241276178,0.0552959471682441
train,1989,7,3.3407240223908072,4.239506721496582,0.8987826991057748,0.2690382962140905
train,1989,8,4.917471679501596,5.425809860229492,0.5083381807278959,0.1033738908648508
train,1989,9,5.157186239187903,6.764331340789795,1.6071451016018923,0.3116321627846925
train,1989,10,8.312010405738436,7.967312335968018,0.34469806977041806,0.04146987948095016
train,1989,11,10.3046717551683,12.21757698059082,1.91290522542252,0.18563475585361738
train,1989,12,12.201674412232506,14.67061710357666,2.4689426913441537,0.20234458058221663
train,1989,13,14.546793966683836,20.051361083984375,5.504567117300539,0.3784041438895151
train,1989,14,21.340391802420246,24.837509155273438,3.4971173528531914,0.1638731559022461
train,1989,15,28.74606632776566,33.347129821777344,4.601063494011683,0.16005889089483463
train,1989,16,31.763460256460533,34.14187240600586,2.3784121495453263,0.07487887435253512
train,1989,17,30.573466511353484,31.939809799194336,1.3663432878408521,0.044690492893025874
train,1990,1,1.0341928789418147,1.7576597929000854,0.7234669139582708,0.699547375241862
train,1990,2,0.41488934123351773,0.6288244724273682,0.21393513119385044,0.5156438354315852
train,1990,3,0.3683451019593409,0.4121776819229126,0.043832579963571705,0.11899867740956438
train,1990,4,0.6124126240288669,0.9485318660736084,0.33611924204474153,0.5488444046645735
train,1990,5,1.3524425265716538,1.7647966146469116,0.41235408807525786,0.30489583104151674
train,1990,6,1.9052161533423062,2.5482990741729736,0.6430829208306674,0.33753803719445397
train,1990,7,2.6573231589949593,4.121928691864014,1.4646055328690544,0.5511582315123613
train,1990,8,3.7151662019573775,5.175453186035156,1.4602869840777788,0.3930610111892213
train,1990,9,3.9360780917893443,6.415857315063477,2.4797792232741322,0.6300127094648654
train,1990,10,5.7088597166960255,7.766690254211426,2.0578305375154002,0.36046262119504296
train,1990,11,7.309120534528462,11.603531837463379,4.2944113029349165,0.5875414535370468
train,1990,12,9.758749033306719,14.209733009338379,4.45098397603166,0.45610190003246787
train,1990,13,12.919930025658992,19.117765426635742,6.19783540097675,0.4797112204684827
train,1990,14,20.914788656924856,24.049911499023438,3.135122842098582,0.14989980981999537
train,1990,15,22.331235329956137,32.457210540771484,10.125975210815348,0.45344447188872933
train,1990,16,36.19104347072107,34.290767669677734,1.9002758010433354,0.052506797782181265
train,1990,17,33.88150258189599,30.23928451538086,3.6422180665151274,0.10749871726353653
train,1991,1,0.9250214154629018,1.578914761543274,0.6538933460803721,0.7068953595549374
train,1991,2,0.438096907035836,0.5590497255325317,0.12095281849669576,0.27608690349992776
train,1991,3,0.30500798150431624,0.38803350925445557,0.08302552775013933,0.2722077217139717
train,1991,4,0.7635203418616521,0.9022531509399414,0.13873280907828933,0.1817015231576445
train,1991,5,1.356865074262151,1.6373600959777832,0.2804950217156321,0.2067228547893427
train,1991,6,1.7153474727591482,2.3108983039855957,0.5955508312264475,0.34718961649685626
train,1991,7,3.026162859118672,3.848734140396118,0.8225712812774462,0.27181989852216243
train,1991,8,3.8158974831884733,4.891910552978516,1.0760130697900423,0.28198165032742684
train,1991,9,4.6391936969566885,5.874240875244141,1.2350471782874521,0.2662202225135322
train,1991,10,4.4594362018424425,7.345532417297363,2.886096215454921,0.6471885872617408
train,1991,11,6.690265056137409,10.697638511657715,4.007373455520306,0.5989857534633082
train,1991,12,9.48217042758405,13.381885528564453,3.899715100980403,0.4112681933701117
train,1991,13,13.928957298334439,17.81842803955078,3.8894707412163427,0.27923631740052424
train,1991,14,18.294092504910285,23.335552215576172,5.041459710665887,0.2755785622769997
train,1991,15,26.386702969788384,30.737314224243164,4.35061125445478,0.1648789263075373
train,1991,16,29.453153123670546,32.99721145629883,3.544058332628282,0.1203286560779096
train,1991,17,35.303771460558366,29.326337814331055,5.977433646227311,0.16931430832836583
train,1992,1,0.9379044713032487,1.3872272968292236,0.4493228255259749,0.47907099206078757
train,1992,2,0.17937582849210787,0.4767657518386841,0.2973899233465762,1.657915260070856
train,1992,3,0.244600644604232,0.3282308280467987,0.0836301834425667,0.3419050001995696
train,1992,4,0.7573441938510318,0.824112057685852,0.06676786383482025,0.08816052777169003
train,1992,5,1.4255436977177975,1.5278124809265137,0.10226878320871613,0.07174019524786932
train,1992,6,1.7931843624076842,2.070770740509033,0.277586378101349,0.15480080237175542
