age_group,target_year,lag,feature_period,cohort_year,abs_shap
17,2011,5,2006,1924,0.13833114427951573
17,2011,4,2007,1925,0.10836527799556238
17,2011,3,2008,1926,0.0680355513982461
17,2011,2,2009,1927,0.044609171518250244
17,2011,1,2010,1928,0.014102020319377517
15,1998,10,1988,1916,0.165314291954318
15,1998,9,1989,1917,0.17210095640673576
15,1998,8,1990,1918,0.14803991370682523
15,1998,7,1991,1919,0.16436525036064567
15,1998,6,1992,1920,0.17033410302803112
15,1998,5,1993,1921,0.12839847026401308
15,1998,4,1994,1922,0.10117256923299278
15,1998,3,1995,1923,0.060150268240484354
15,1998,2,1996,1924,0.03965318163641405
15,1998,1,1997,1925,0.013696639856730123
9,1996,10,1986,1944,0.04316708751268946
9,1996,9,1987,1945,0.042910129763185985
9,1996,8,1988,1946,0.0265620249924065
9,1996,7,1989,1947,0.0179879309085331
9,1996,6,1990,1948,0.009414222998747836
9,1996,5,1991,1949,0.007693401394541275
9,1996,4,1992,1950,0.0004962247446260651
9,1996,3,1993,1951,0.007058193212508098
9,1996,2,1994,1952,0.0015004754082987139
9,1996,1,1995,1953,0.0004847918926582984
13,2007,10,1997,1935,0.07405005072085322
13,2007,9,1998,1936,0.09955288951567563
13,2007,8,1999,1937,0.09880508138890566
13,2007,7,2000,1938,0.08319211715965412
13,2007,6,2001,1939,0.1007682991957788
13,2007,5,2002,1940,0.08146616076489185
13,2007,4,2003,1941,0.0485822172826266
13,2007,3,2004,1942,0.03508241835324511
13,2007,2,2005,1943,0.01334371573991688
13,2007,1,2006,1944,0.004686093174804386
11,1991,10,1981,1929,0.10377269853207283
11,1991,9,1982,1930,0.129656507039494
11,1991,8,1983,1931,0.11304857306420406
11,1991,7,1984,1932,0.10687727428794956
11,1991,6,1985,1933,0.09907254055218916
11,1991,5,1986,1934,0.07987269542128998
11,1991,4,1987,1935,0.06873589004957983
11,1991,3,1988,1936,0.03602698126606023
11,1991,2,1989,1937,0.024393267993194356
11,1991,1,1990,1938,0.00561844867796431
12,2004,10,1994,1937,0.06793685479076311
12,2004,9,1995,1938,0.07641611988838436
12,2004,8,1996,1939,0.05144847558254
12,2004,7,1997,1940,0.0515712868798162
12,2004,6,1998,1941,0.05896904470297389
12,2004,5,1999,1942,0.05584888633886824
12,2004,4,2000,1943,0.037425389033838304
12,2004,3,2001,1944,0.02407330764606521
12,2004,2,2002,1945,0.011342335499826793
12,2004,1,2003,1946,0.003803825009920968
5,2010,10,2000,1978,0.14499469881102314
5,2010,9,2001,1979,0.13823224355425262
5,2010,8,2002,1980,0.10623699160096856
5,2010,7,2003,1981,0.12339584313790587
5,2010,6,2004,1982,0.0994509124790156
5,2010,5,2005,1983,0.12305168560393422
5,2010,4,2006,1984,0.07986738133937915
5,2010,3,2007,1985,0.048483133060366126
5,2010,2,2008,1986,0.027032114891948893
5,2010,1,2009,1987,0.00936453111660814
11,2016,10,2006,1954,0.012627186122224767
11,2016,9,2007,1955,0.0005016394598809735
11,2016,8,2008,1956,0.012900520610682212
11,2016,7,2009,1957,0.010912828095161172
11,2016,6,2010,1958,0.03073535488489724
11,2016,5,2011,1959,0.015181845447466171
11,2016,4,2012,1960,0.03259423518026367
11,2016,3,2013,1961,0.011744471914936872
11,2016,2,2014,1962,0.009746610070297895
11,2016,1,2015,1963,0.0037595174485034037
13,2004,10,1994,1932,0.08879815697192109
13,2004,9,1995,1933,0.100043814349768
13,2004,8,1996,1934,0.10241132189338986
13,2004,7,1997,1935,0.08238976335390258
13,2004,6,1998,1936,0.09736302465618787
13,2004,5,1999,1937,0.08769648373782972
13,2004,4,2000,1938,0.05527221594763813
13,2004,3,2001,1939,0.04495759922312572
13,2004,2,2002,1940,0.027557907278893398
13,2004,1,2003,1941,0.007445339192869126
17,2008,10,1998,1916,0.17741736178088313
17,2008,9,1999,1917,0.202516751135907
17,2008,8,2000,1918,0.18999519122969227
17,2008,7,2001,1919,0.18710325699161334
17,2008,6,2002,1920,0.1823636730896414
17,2008,5,2003,1921,0.16058544973865707
17,2008,4,2004,1922,0.11777849538517858
17,2008,3,2005,1923,0.07267673499664906
17,2008,2,2006,1924,0.04588328102765423
17,2008,1,2007,1925,0.016797026078283234
3,2008,10,1998,1986,0.3203730686845421
3,2008,9,1999,1987,0.29338122154811513
3,2008,8,2000,1988,0.320728073364597
3,2008,7,2001,1989,0.23124405176014448
3,2008,6,2002,1990,0.33417029799466275
3,2008,5,2003,1991,0.16994549270398512
3,2008,4,2004,1992,0.1754723421513503
3,2008,3,2005,1993,0.0910993659035968
3,2008,2,2006,1994,0.067144934326728
3,2008,1,2007,1995,0.015232117974332413
14,2002,10,1992,1925,0.11507256290204944
14,2002,9,1993,1926,0.14238945168894657
14,2002,8,1994,1927,0.10410178211682093
14,2002,7,1995,1928,0.12037611299039513
14,2002,6,1996,1929,0.1166170758131138
14,2002,5,1997,1930,0.09644088370104276
14,2002,4,1998,1931,0.0769327773368319
14,2002,3,1999,1932,0.05326001524308787
14,2002,2,2000,1933,0.03261516279815552
14,2002,1,2001,1934,0.011009770181432878
11,1997,10,1987,1935,0.09083024319341482
11,1997,9,1988,1936,0.08050061548324962
11,1997,8,1989,1937,0.07801441279633539
11,1997,7,1990,1938,0.05116985840086516
11,1997,6,1991,1939,0.04255031112067045
11,1997,5,1992,1940,0.034929846584575173
11,1997,4,1993,1941,0.04878572745105657
11,1997,3,1994,1942,0.025790927503520408
11,1997,2,1995,1943,0.016030859889614106
11,1997,1,1996,1944,0.005631474446963582
1,1993,10,1983,1981,0.0397719135028277
1,1993,9,1984,1982,0.06971127750523859
1,1993,8,1985,1983,0.05956858392073482
1,1993,7,1986,1984,0.08009817726690954
1,1993,6,1987,1985,0.09292343764928807
1,1993,5,1988,1986,0.08224478938816018
1,1993,4,1989,1987,0.07110543037221088
1,1993,3,1990,1988,0.04802727965946255
1,1993,2,1991,1989,0.03195062817698934
1,1993,1,1992,1990,0.010576937049302078
5,1990,10,1980,1958,0.015682029181315477
5,1990,9,1981,1959,0.03739977014860488
5,1990,8,1982,1960,0.04036451824221916
5,1990,7,1983,1961,0.05123930543429765
5,1990,6,1984,1962,0.05043152963513483
5,1990,5,1985,1963,0.06620485670560036
5,1990,4,1986,1964,0.050571024988781604
5,1990,3,1987,1965,0.022729849181278378
5,1990,2,1988,1966,0.019355214214321986
5,1990,1,1989,1967,0.00838041886284074
8,2001,10,1991,1954,0.0221485621560224
8,2001,9,1992,1955,0.021421676833463424
8,2001,8,1993,1956,0.024940351862911266
8,2001,7,1994,1957,0.022441205006103866
8,2001,6,1995,1958,0.010443700244683503
8,2001,5,1996,1959,0.0469585884387849
8,2001,4,1997,1960,0.03458513762658492
8,2001,3,1998,1961,0.014590519555234579
8,2001,2,1999,1962,0.01546906243365938
8,2001,1,2000,1963,0.0062733237297858055
16,2018,10,2008,1931,0.12915146230828306
16,2018,9,2009,1932,0.13049820859772007
16,2018,8,2010,1933,0.12061615328444522
16,2018,7,2011,1934,0.11088939597672007
16,2018,6,2012,1935,0.1220676360939674
16,2018,5,2013,1936,0.10285231736680446
16,2018,4,2014,1937,0.0895804589254751
16,2018,3,2015,1938,0.05637515492026978
16,2018,2,2016,1939,0.03521560468749767
16,2018,1,2017,1940,0.011434100338660705
14,1995,10,1985,1918,0.17720144211149805
14,1995,9,1986,1919,0.1719257550004886
14,1995,8,1987,1920,0.15951120929111032
14,1995,7,1988,1921,0.16563055805252913
14,1995,6,1989,1922,0.14547983398950742
14,1995,5,1990,1923,0.1233607050573513
14,1995,4,1991,1924,0.08820785304874416
14,1995,3,1992,1925,0.055849978739905805
14,1995,2,1993,1926,0.041142603389844955
14,1995,1,1994,1927,0.011018654194993083
5,2012,10,2002,1980,0.10657353003987598
5,2012,9,2003,1981,0.14173030985670068
5,2012,8,2004,1982,0.11970981241138783
5,2012,7,2005,1983,0.1613536130200095
5,2012,6,2006,1984,0.1324299068698172
5,2012,5,2007,1985,0.1057325191817705
5,2012,4,2008,1986,0.06886892009478819
5,2012,3,2009,1987,0.045375647169072206
5,2012,2,2010,1988,0.04178156571850803
5,2012,1,2011,1989,0.010718855200146916
8,1999,10,1989,1952,0.006793067556935267
8,1999,9,1990,1953,0.0224507069333332
8,1999,8,1991,1954,0.0223023219130017
8,1999,7,1992,1955,0.01595176818890729
8,1999,6,1993,1956,0.01773850810545908
8,1999,5,1994,1957,0.015131160606138623
8,1999,4,1995,1958,0.0029511620255394085
8,1999,3,1996,1959,0.02075921587890662
8,1999,2,1997,1960,0.01268540839718594
8,1999,1,1998,1961,0.003164849988066607
4,2011,10,2001,1984,0.21869097632469808
4,2011,9,2002,1985,0.17261890136543545
4,2011,8,2003,1986,0.21486568374121695
4,2011,7,2004,1987,0.2322087303535677
4,2011,6,2005,1988,0.20657227920504306
4,2011,5,2006,1989,0.15059675594564864
4,2011,4,2007,1990,0.093614010889837
4,2011,3,2008,1991,0.06326693827561322
4,2011,2,2009,1992,0.04948322024041164
4,2011,1,2010,1993,0.014576283219078251
9,2018,10,2008,1966,0.06492423176363729
9,2018,9,2009,1967,0.07416426267820804
9,2018,8,2010,1968,0.10482555093444003
9,2018,7,2011,1969,0.10717545396851243
9,2018,6,2012,1970,0.0673479705480268
9,2018,5,2013,1971,0.07270132955627524
9,2018,4,2014,1972,0.06243525348140645
9,2018,3,2015,1973,0.03459594407165427
9,2018,2,2016,1974,0.016703996876273164
9,2018,1,2017,1975,0.006259885684405977
4,2009,10,1999,1982,0.21194690840589048
4,2009,9,2000,1983,0.21532936135573405
4,2009,8,2001,1984,0.20473010205601996
4,2009,7,2002,1985,0.1472086047248155
4,2009,6,2003,1986,0.1712115032670551
4,2009,5,2004,1987,0.1727795507630356
4,2009,4,2005,1988,0.12169430102414967
4,2009,3,2006,1989,0.06817857128388012
4,2009,2,2007,1990,0.03647021688793652
4,2009,1,2008,1991,0.01223343714341404
3,2016,10,2006,1994,0.4397596149321817
3,2016,9,2007,1995,0.3077567829636947
3,2016,8,2008,1996,0.3886620857494903
3,2016,7,2009,1997,0.2641306037007215
3,2016,6,2010,1998,0.21104343467242717
3,2016,5,2011,1999,0.2672317510178121
3,2016,4,2012,2000,0.20574763997684112
3,2016,3,2013,2001,0.13050222992222185
3,2016,2,2014,2002,0.06293688450321286
3,2016,1,2015,2003,0.020500396279359477
12,2005,10,1995,1938,0.06781526112093025
12,2005,9,1996,1939,0.05525067585845306
12,2005,8,1997,1940,0.049784925427128895
12,2005,7,1998,1941,0.060716657964664314
12,2005,6,1999,1942,0.061708332587218306
12,2005,5,2000,1943,0.04928253516093973
12,2005,4,2001,1944,0.03467682498628794
12,2005,3,2002,1945,0.01646605600623622
12,2005,2,2003,1946,0.011432798127939415
12,2005,1,2004,1947,0.0031249946722768213
2,1993,10,1983,1976,0.20626715564486087
2,1993,9,1984,1977,0.1517730099215349
2,1993,8,1985,1978,0.1473195103767168
2,1993,7,1986,1979,0.16256146675665395
2,1993,6,1987,1980,0.14662768150622857
2,1993,5,1988,1981,0.15202311532020504
2,1993,4,1989,1982,0.13805595952514108
2,1993,3,1990,1983,0.06952874066701743
2,1993,2,1991,1984,0.04097983577007442
2,1993,1,1992,1985,0.01881831786606373
10,2008,10,1998,1951,0.029649656563764507
10,2008,9,1999,1952,0.008059215062770934
10,2008,8,2000,1953,0.013537723537674904
10,2008,7,2001,1954,0.021053585992989284
10,2008,6,2002,1955,0.02497636999380183
10,2008,5,2003,1956,0.0008119924152787348
10,2008,4,2004,1957,0.007800286194342869
10,2008,3,2005,1958,0.003036708708542088
10,2008,2,2006,1959,0.012822359262167338
10,2008,1,2007,1960,0.002462897576872146
6,2005,10,1995,1968,0.07463931341652197
6,2005,9,1996,1969,0.08880953375199861
6,2005,8,1997,1970,0.15334457122629114
6,2005,7,1998,1971,0.1197397861847995
6,2005,6,1999,1972,0.05974381913280577
6,2005,5,2000,1973,0.06581078089482446
6,2005,4,2001,1974,0.050941990336529006
6,2005,3,2002,1975,0.0535205958742456
6,2005,2,2003,1976,0.0277644386518717
6,2005,1,2004,1977,0.008775665540950347
2,2017,10,2007,2000,0.3400939036581652
2,2017,9,2008,2001,0.3622444699235807
2,2017,8,2009,2002,0.2845013536127098
2,2017,7,2010,2003,0.24613099848416206
2,2017,6,2011,2004,0.26832856723626186
2,2017,5,2012,2005,0.35514318435987313
2,2017,4,2013,2006,0.20180132908673423
2,2017,3,2014,2007,0.1137101415750895
2,2017,2,2015,2008,0.054195275672327015
2,2017,1,2016,2009,0.02303467569499469
11,1994,10,1984,1932,0.09592431908284879
11,1994,9,1985,1933,0.10126505360093806
11,1994,8,1986,1934,0.08880889431291493
11,1994,7,1987,1935,0.10195460453032644
11,1994,6,1988,1936,0.07769296982881084
11,1994,5,1989,1937,0.07046147602254756
11,1994,4,1990,1938,0.03463092998333925
11,1994,3,1991,1939,0.020463047660166607
11,1994,2,1992,1940,0.012520707085643663
11,1994,1,1993,1941,0.007727710267643458
15,2002,10,1992,1920,0.15882109112812107
15,2002,9,1993,1921,0.1519260948213367
15,2002,8,1994,1922,0.15054795312226577
15,2002,7,1995,1923,0.13906143147011277
15,2002,6,1996,1924,0.13737238746607644
15,2002,5,1997,1925,0.11480336324972233
15,2002,4,1998,1926,0.0922175870804589
15,2002,3,1999,1927,0.06311073680109314
15,2002,2,2000,1928,0.03530987018847189
15,2002,1,2001,1929,0.014295747111606904
