time_step,mean_abs_shap
1,0.09072876402657819
2,0.0994757736935775
3,0.09905923546197036
4,0.10351606087582173
5,0.10470014840316905
6,0.10612191876357883
7,0.10165725108330963
8,0.07911745118188586
9,0.04624190289727841
10,0.014347497566262088
