age,N,age_label,MAE_x100k,MAPE_%,SMAPE_%,MSE_x100k,RMSE_x100k,MSE_logm,RMSE_logm
1,40,0–4,0.24507131517840092,21.020761947904603,20.681311528634293,0.18149863929636895,0.42602657111542813,0.07189045967373685,0.26812396325904336
2,40,5–9,0.06318112317477846,31.26620383033912,28.95129647251528,0.006701271656266812,0.08186129522715123,0.14771423218519603,0.3843360927433124
3,40,10–14,0.06721309889224814,29.767724699980658,27.68190437488869,0.00805966883108036,0.08977565834389832,0.11930434362246936,0.34540460857155536
4,40,15–19,0.0853402848217488,13.172549476368003,12.957539641415208,0.012569933842102244,0.1121157163028549,0.027333269537587808,0.16532776396476126
5,40,20–24,0.15227565677736288,11.414664107519771,11.21962046290594,0.050175666243251635,0.22399925500601925,0.02178570891979165,0.14759982696396243
6,40,25–29,0.2765774305587998,16.292537492884357,15.578707356888689,0.12998624735201728,0.36053605555064433,0.04295657929618833,0.2072596904759542
7,40,30–34,0.3210875466042397,12.268364655819674,12.13309644487213,0.16970316459420665,0.4119504394878183,0.021322915855304464,0.14602368251521552
8,40,35–39,0.40449257783821446,13.05199363874249,12.971854793643947,0.2781868137624897,0.5274341795546528,0.02632840704271232,0.16226030642986078
9,40,40–44,0.43582027639469983,12.35710991031661,12.0636301403184,0.3404707502100084,0.5834987148314967,0.0227356933111127,0.1507835976196108
10,40,45–49,0.6501434672552541,12.37052320493246,12.290442673070686,0.7388665981195841,0.8595734977996844,0.022342851304470772,0.14947525315071647
11,40,50–54,0.758914363502382,10.414456264839309,10.331559247076072,0.9652757224471337,0.9824844642268566,0.014193223775931954,0.11913531708075466
12,40,55–59,0.784462136770452,8.973386655948579,8.869589071045898,0.9803653637366777,0.9901340130187821,0.010823858284628953,0.10403777335482028
13,40,60–64,1.081417999406262,9.32320478744432,9.22942104141761,2.2489757532206944,1.4996585455431828,0.014583382270815789,0.12076167550516922
14,40,65–69,1.7099006472089897,9.832216434191412,9.757083710627303,5.650808443313942,2.377142916047317,0.014639759801942131,0.12099487510610576
15,40,70–74,2.1160984310776803,8.988527280425007,8.994964193033171,8.002584630029258,2.828883990203426,0.011622793478713278,0.10780906028119008
16,40,75–79,3.1110689434567003,10.397480429463336,10.214731062987672,16.188657598034716,4.023513091569942,0.015100939127542633,0.1228858784708098
17,40,≥80,4.672230675218126,13.952889807490438,13.730789393620196,38.051209027140736,6.168566205135577,0.028514663371244014,0.1688628537341591
