metric,value
MAE_x100k,1.4945853894314445
MAPE_%,15.059893976056996
SMAPE_%,14.715099337547269
MSE_x100k,9.835764819381449
RMSE_x100k,3.1362022924839286
MSE_logm,0.03854639015644954
RMSE_logm,0.19633234617976106
