feature,importance
log(m)_t-1,0.07302600533414882
log(m)_t-2,0.12614363633672623
log(m)_t-3,0.1499221660325864
log(m)_t-4,0.14648193667337905
log(m)_t-5,0.12923871413064072
log(m)_t-6,0.10018722152120998
log(m)_t-7,0.06889326244250595
log(m)_t-8,0.0369057567994849
log(m)_t-9,0.010854956950082753
log(m)_t-10,0.009907636196689319
