dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1981,14,1967,6.195687509931323,7.985851,1.7901633010733153,0.2889369901570245
train,1981,15,1966,0.025271664070845485,0.102929115,0.07765745122456467,3.0729061214089524
train,1981,16,1965,1.2994885862668748,1.444731,0.1452424108186965,0.11176890074566334
train,1981,17,1964,8.208230458055576,8.128236,0.07999464110000964,0.009745662175151645
train,1982,1,1981,1.5202285410239997,1.7521019,0.23187335716935964,0.1525253282069163
train,1982,2,1980,11.034093540171325,11.892757,0.8586638756001594,0.077819158635368
train,1982,3,1979,38.16899206268912,41.86055,3.6915578640686917,0.09671614744255087
train,1982,4,1978,1.8555022876141753,1.6383519,0.21715037034732965,0.11703050532286159
train,1982,5,1977,9.952553294992745,11.317379,1.3648257028099895,0.137133222235194
train,1982,6,1976,33.88150258189599,13.659503,20.221999598802725,0.5968448285291637
train,1982,7,1975,1.5587978550941506,1.6194668,0.06066892652206035,0.03892032974240721
train,1982,8,1974,9.708303550098185,11.224509,1.5162056890985927,0.15617617241511803
train,1982,9,1973,0.6223597253042479,1.579171,0.9568112170022707,1.5373925691174584
train,1982,10,1972,1.6049534760016875,1.6822536,0.07730012316518264,0.04816346661817704
train,1982,11,1971,12.099295530617018,10.774542,1.32475367575862,0.10949014943938253
train,1982,12,1970,0.3288836163102782,0.14080125,0.18808236537567735,0.5718812249913453
train,1982,13,1969,1.4931385194785014,1.8399663,0.3468277776711568,0.23228104636404312
train,1982,14,1968,9.506066732588462,10.191767,0.68570000630314,0.07213288372491307
train,1982,15,1967,0.04802836363042548,0.1722869,0.12425853426729486,2.587190669681512
train,1982,16,1966,1.357422595586914,2.0502245,0.6928019470308839,0.510380443999331
train,1982,17,1965,11.53999163856746,10.204517,1.3354742740655077,0.11572575751286884
train,1983,1,1982,3.357188019315019,2.604929,0.7522590489781051,0.22407414915395996
train,1983,2,1981,14.776688641148647,15.507471,0.7307824434460795,0.04945508842969189
train,1983,3,1980,57.30681991231655,24.293058,33.013761516930806,0.5760878298157811
train,1983,4,1979,3.9900944092610793,2.4534066,1.5366878369191603,0.38512568358084354
train,1983,5,1978,14.79085727808784,14.758013,0.032844506481394475,0.002220595186869276
train,1983,6,1977,0.9250214154629018,2.235945,1.3109235708804818,1.417181860836215
train,1983,7,1976,2.8294436146708053,2.3713715,0.458072107026152,0.16189476427480778
train,1983,8,1975,12.483422244313166,14.511775,2.028352772471502,0.162483711018856
train,1983,9,1974,0.19217981881286667,0.19961837,0.007438550528029941,0.038706200130381306
train,1983,10,1973,2.3017849295863044,2.459352,0.15756708686267018,0.06845430467342618
train,1983,11,1972,14.384721213037722,13.462462,0.922258787805788,0.06411377559196811
train,1983,12,1971,0.1666912337794545,0.23095004,0.06425880882594559,0.38549602980669945
train,1983,13,1970,2.6173442680160552,2.6384819,0.021137587376400813,0.008075967550273778
train,1983,14,1969,13.122885106462741,12.694884,0.4280008062308074,0.032614840620679784
train,1983,15,1968,0.28539287897201476,0.28343016,0.0019627198800653,0.006877255967731713
train,1983,16,1967,2.1167702178897425,2.832598,0.7158277530727819,0.3381697961463522
train,1983,17,1966,16.920090341196644,12.540094,4.379995965586293,0.25886362763216
train,1984,1,1983,4.636005399582755,3.7884328,0.8475725630501625,0.18282389471036034
train,1984,2,1982,18.85969078366833,19.83916,0.9794701355211224,0.051934580834657636
train,1984,3,1981,2.2064843643326197,3.8410268,1.6345424186568822,0.7407903926618262
train,1984,4,1980,5.1194057252609095,3.553609,1.565796830912765,0.30585519393125626
train,1984,5,1979,17.86038165835722,18.869953,1.0095714971603584,0.056525751603292526
train,1984,6,1978,0.438096907035836,0.31055412,0.12754279007149577,0.291129172616532
train,1984,7,1977,3.8978228117537985,3.449756,0.4480669046950827,0.11495312289307556
train,1984,8,1976,15.97388916711279,18.1065,2.1326114584975624,0.13350608835374117
train,1984,9,1975,0.2314518356445084,0.32290027,0.09144842981073756,0.39510781824517455
train,1984,10,1974,3.5912929103388853,3.5257664,0.06552653765822125,0.01824594631909869
train,1984,11,1973,18.593452583544472,16.43619,2.1572629320552146,0.11602271941491457
train,1984,12,1972,0.33354457823288064,0.37207866,0.038534078917387915,0.11552902200187441
train,1984,13,1971,3.287385194013159,3.6617827,0.374397547533472,0.1138891627957668
train,1984,14,1970,17.622471588353733,15.383607,2.2388646776481664,0.12704600863863225
train,1984,15,1969,0.6875696323412385,0.4573958,0.23017384033379218,0.3347644071331279
train,1984,16,1968,3.1001491559262653,3.8206882,0.7205390917543988,0.2324207821990691
train,1984,17,1967,19.58703614729912,8.672305,10.91473104018242,0.557242604654452
train,1985,1,1984,4.8848561687406935,5.3337955,0.44893937874465806,0.09190431882466293
train,1985,2,1983,28.224767320978703,24.925283,3.299483888971867,0.11690030431249414
train,1985,3,1982,0.9479013320886146,0.51848865,0.42941268653502573,0.45301411866190844
train,1985,4,1981,5.737371288029029,5.013988,0.72338326999314,0.1260827012367748
train,1985,5,1980,27.0855402173893,23.680326,3.405213755597309,0.12572072509046683
train,1985,6,1979,0.30500798150431624,0.501886,0.19687802866566667,0.6454848417212162
train,1985,7,1978,4.8419720883738,4.9025073,0.060535216771463674,0.012502182099893563
train,1985,8,1977,19.459663327762918,21.779022,2.319358889033957,0.11918802756082786
train,1985,9,1976,0.5685665543702594,0.51383793,0.05472862082991514,0.09625719347919778
train,1985,10,1975,5.016934662954803,5.000355,0.016579896109099934,0.003304786133956075
train,1985,11,1974,24.045808388616233,19.632784,4.413024498845726,0.18352572837329756
train,1985,12,1973,0.7621071609766292,0.5873106,0.17479654877493855,0.22935954118409013
train,1985,13,1972,4.456859057645594,4.981112,0.5242529456808223,0.1176283429428548
train,1985,14,1971,24.613210196815093,7.5051475,17.10806273969229,0.6950764489024415
train,1985,15,1970,0.7449926149158006,0.7181969,0.02679568641467145,0.03596772085809729
train,1985,16,1969,4.736504947068381,5.0728493,0.3363443266132595,0.07101107892252195
