gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,8.51170622855072,6.486267355832574,4.533783977067689,3.720101675693228,3.095004033996783,2.980896260370506,2.701347207724426,1.8221998609054104,2.282748651481658,1.6961878178793162,0.9885784587765255,1.2226989661346621,1.001230925078479,0.9539818247382751,0.8455741942030252,0.7897022822395956,0.6443648909504474,0.8562529656678237,0.6116014115760579,0.6660916075787904,0.8200108150315272,0.8372927979422692,0.414653294558643,1.0439230628702665,1.1370906852563307,0.6660269636258889,0.5772713824928021,0.6812290734943985,0.5904070659917658,0.9444668410119317,0.501684908766091,0.5058964763804523,0.4079251702067772,0.43769012164659027,0.6712383159353525,0.37978697748432905,0.3122086053017184,0.31242986600403766,0.31153731723793093,0.30781022268530556,0.30687005331867173,0.34459033378168363,0.5088172949033807,0.512888634952027,0.4144205933881266
2,2.116645576900955,1.22520579853869,1.1829762618068425,0.942955883808976,0.7594030157646224,0.8067411288728615,1.3143113285335606,0.8262418828620358,0.5930075780977503,0.4236157296992752,0.36571036888160025,0.8163531870428423,0.691482941744448,0.051045800844808004,0.7756086588950679,0.431279334696176,0.39699612879149915,0.29378123873838585,0.19311263777379753,0.1904088220215419,0.09407713854975387,0.046576271439057744,0.39581275342618344,0.3221774037656095,0.11208211584135001,0.001,0.3945351248985481,0.1393944519149545,0.17152550784414736,0.1420284407218264,0.28717188816952327,0.2936750614661903,0.09777311943182085,0.06050510874885721,0.04989248170193234,0.10069890072045029,0.3045315822090619,0.05103483331513091,0.051133920248469945,0.001,0.118037345835849,0.058829516180175984,0.09635828322301113,0.04849225457463807,0.1953899690697679
3,1.0772975344968625,0.3532932227761075,1.24140915308703,0.9436194629498706,0.5990649793801834,0.6635447889716443,0.6093596422327668,0.42493055420656967,0.30074048321777885,0.533327960547953,0.46373241526681314,0.989983170286105,0.2694321179250494,0.32818089330839156,0.267235343477587,0.21098437396980285,0.3192693074921013,0.12612630792981325,0.18832923717242483,0.051201441832602,0.25367782104957676,0.2006623865379618,0.19807902957121834,0.06001702082710657,0.2916395684900945,0.17814769156221272,0.23556437927372675,0.09342808186542245,0.13933909608870512,0.04631610929860737,0.23158977114298815,0.23221521706317416,0.11351137213681751,0.04704872742602058,0.001,0.23524499295735302,0.001,0.19604181768012935,0.24141862411904833,0.045610075813068016,0.22211511337865963,0.14663863913477337,0.09120247268143934,0.09207556273131108,0.001
4,1.8687993820503377,1.9213226077420078,1.9092867089624999,0.9732158823965927,1.4787179219872786,1.9910696837517652,1.5225854231325795,0.7610060499980974,1.4076076911684245,1.167776258985731,0.8018855413251714,1.25327538702108,0.5542315579449094,0.8157248011485406,0.8110682801518321,0.8748287704937753,0.7130409485155913,1.0154741333351387,0.3867324259117355,0.590144972391051,0.6434199054816159,0.5846166110837995,0.7385281953653252,0.977555966708354,0.46958179567035147,0.41369923651805895,0.4089385794700565,0.4938295991585143,0.39726818532362207,0.5969988865970766,0.14481217619394018,0.5220196592603678,0.3779273425235815,0.2346740260441234,0.349732483794271,0.4210193439676582,0.14625442419633194,0.4238479459622126,0.3313074670550221,0.72406053146043,0.3186663358606609,0.4926324576716757,0.7060812058563462,0.70433371114516,0.3557370605090953
5,3.865498831255059,3.4611861116593365,3.223532647938658,2.9314869618627504,2.9818257719201466,3.447505431478509,2.4496034908482813,2.2460805893715468,2.6894362019628275,1.8812292202555712,2.0622512409440614,1.8325772679479944,1.5684050449944038,1.3242970032420052,1.5489119280933126,1.7206943447787122,1.5953380393678376,1.623371603674695,1.2214169352511615,1.650420031898118,1.2186272042681199,0.9534490423200276,2.1666946531392695,1.5410044152630207,1.3467144376204678,1.8078569462885703,1.0715378778594156,0.9801492549504345,1.3928204747262776,1.3403869858074464,1.7500802120097172,0.7600699771092259,0.980206534675838,0.8636679775791793,0.5507349557985132,1.0892824291482295,0.5857335800573336,0.6758332178784919,0.7167996329985878,1.0149340292880964,1.0828645628334517,0.7778857157761172,1.0806950490207776,1.7419042765536559,1.5997127626861665
6,4.984791769554923,5.299945473442333,9.02552531377803,4.478908566039394,4.343788750898468,4.2927496253781,3.370962984528046,4.308244494360657,3.3803045429039518,3.303050683555797,3.571865241767194,3.552547014730152,2.193766777330013,2.3884266398738276,1.5058052064197058,3.2801049633588275,3.2612491220478734,2.167301204297036,1.6923760072659342,1.2141895042221418,3.259338207673623,1.934281131087566,2.933654358938897,0.9892207907831001,1.2349362155444672,1.5291572050064606,0.747033343833302,2.0435614312812325,1.602241714185002,1.5135700285191522,1.5486037902938103,3.8279514462638558,1.4478884270967491,1.159156243351898,1.437781127684918,1.3955815886902068,1.404620336525423,1.0469847493583946,3.225611687631764,1.8465552182661242,1.5572497763337216,2.1444762638354944,2.0090228486635793,2.8075581712015283,2.91326747528047
7,5.967137347227722,5.180413289055189,6.304428230389026,8.048359496692743,11.230631007618367,7.33588575580583,7.199033646600373,6.603197575812397,6.0385627870505205,8.83534753647462,9.030930083561662,3.9484763323393044,4.903458446961554,3.5377154336975676,4.2383389318484115,3.52172906835173,3.035805561595789,3.1322585742098177,2.4116226430695136,3.7495844210599993,3.667968795589101,2.119723341914794,2.5388809024692334,3.4521024988170237,2.1506137227192914,2.129587984353491,1.9581300709183629,2.429899145300332,1.854205853933904,3.50358241301731,1.7972593428893069,2.257594665225958,1.5038366632872116,1.9579948908570817,1.9665325297255958,1.713857840810974,1.6938025516843405,1.55981004979838,2.4496012049238383,3.418847645060781,2.160098545969455,1.8420992036210408,3.5330581830445325,2.5571536629436213,3.280461570883816
8,10.984795076188572,10.663848439656146,11.414909774650656,9.651542205080423,6.354756055303164,6.621639517944644,8.457570958338279,11.709480891160375,18.751171948246764,11.322951303335486,6.6017428601150705,8.568849172953039,4.133112524927835,5.769764216366158,5.28658581714757,5.2949093716479805,5.965015185934495,4.184383238004499,3.836499358756536,5.82761363846595,4.223198876066006,4.940439631757595,3.254775116737934,3.008005592025634,2.2784492874149853,3.0544024594332733,2.061292899769988,2.27942632537956,1.5008286718309467,2.72572402044293,1.796996858849491,2.7269034862743466,1.9963965043097212,2.113503597183122,2.0968017901654963,1.6915081554374205,1.647921015804881,1.9227539990078588,1.3006000356517422,2.506581342637763,2.010314742186272,2.3699743213282285,5.587714478433418,3.1496423724251676,3.2684858232245078
9,10.866085201750217,18.72709934479793,11.656513230142517,11.987928156346559,11.091668259877787,10.637110612000056,12.601462777799247,11.12775795029924,7.812143977813511,7.1813285457809695,6.220498371693074,5.199292423567447,6.069941762917237,7.166087867262003,6.878355213309617,7.550322902142781,6.451515350070312,9.864866739522817,8.692094540015855,6.221676503930178,11.960796729777458,5.502541056264342,5.345114857331368,4.795718642502748,8.95361271967878,4.668451259968311,4.894428109162369,2.8467575431583425,4.591715464897686,3.1593487333215773,3.000207819273335,1.6807582411961155,2.5853038846419576,3.575105823132365,2.424703763654572,2.2407517453215346,3.664006063930036,3.0566439795757963,3.3026161065111075,2.933598358902147,2.0705791409857337,2.745970288601477,3.7133831609597943,3.9350594118296964,3.9025984598151267
10,11.12803626645262,12.868724709381299,14.907494611379155,16.59782140208758,14.111422431381085,9.36932716519295,13.104913828767598,9.599989586451974,15.35928921935428,10.548968310899195,12.062880506202331,9.231519542952693,6.199750319146238,7.58180104035496,9.956271423762617,14.443922858341226,8.362240303907706,7.29600489908788,6.830411306530337,8.853911579683523,6.94459515180451,7.773403195919173,8.441444849905007,10.972234348048712,7.789520188808668,9.127913444560763,9.164774437118703,4.8687967472109905,5.223617152673691,5.496015388843089,5.688095683410235,5.581666401774024,4.091870996432352,3.507177515027493,3.401705085775884,2.707558827356272,3.1510382671090125,2.6975384961222884,2.5587226856353307,3.0434802657972764,4.407074088424269,2.9841514429728657,2.34704767073855,3.3174719709677936,3.5994986110170064
