ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1980,2,11,434883,62.0,14.256708126093686,0.00014256708126093686,2
1980,2,12,337274,50.0,14.824741901243499,0.000148247419012435,2
1980,2,13,265255,57.0,21.488756102618236,0.00021488756102618236,2
1980,2,14,205087,42.0,20.47911374197292,0.0002047911374197292,2
1980,2,15,142242,41.0,28.824116646278878,0.00028824116646278876,2
1980,2,16,107626,43.0,39.95317116681842,0.00039953171166818424,2
1980,2,17,118228,41.0,34.67875630138377,0.0003467875630138377,2
1981,1,1,1852757,84.0,4.533783977067689,4.533783977067689e-05,3
1981,1,2,1690651,20.0,1.1829762618068425,1.1829762618068425e-05,3
1981,1,3,1691626,21.0,1.24140915308703,1.2414091530870299e-05,3
1981,1,4,1623643,31.0,1.9092867089624999,1.9092867089624998e-05,3
1981,1,5,1395984,45.0,3.223532647938658,3.223532647938658e-05,3
1981,1,6,1147697,64.0,5.576384707810511,5.576384707810511e-05,3
1981,1,7,951712,60.0,6.304428230389026,6.304428230389025e-05,3
1981,1,8,783223,72.0,9.192784175132752,9.192784175132752e-05,3
1981,1,9,651996,76.0,11.656513230142517,0.00011656513230142517,3
1981,1,10,570183,85.0,14.907494611379155,0.00014907494611379155,3
1981,1,11,477537,85.0,17.799667879138163,0.00017799667879138162,3
1981,1,12,375561,88.0,23.431612973658073,0.00023431612973658073,3
1981,1,13,296438,102.0,34.40854411377759,0.0003440854411377759,3
1981,1,14,230214,101.0,43.87222323577193,0.00043872223235771933,3
1981,1,15,159404,105.0,65.87036711751274,0.0006587036711751274,3
1981,1,16,106985,70.0,65.42973314015983,0.0006542973314015983,3
1981,1,17,104504,91.0,87.07800658348005,0.0008707800658348005,3
1981,2,1,1834557,79.0,4.306216705177326,4.306216705177326e-05,3
1981,2,2,1690263,24.0,1.4198973769170833,1.4198973769170833e-05,3
1981,2,3,1701017,14.0,0.8230370419578406,8.230370419578405e-06,3
1981,2,4,1648370,25.0,1.5166497812991016,1.5166497812991015e-05,3
1981,2,5,1448622,45.0,3.1064004274406987,3.1064004274406986e-05,3
1981,2,6,1198895,52.0,4.337327288878509,4.337327288878509e-05,3
1981,2,7,973004,40.0,4.11098001652614,4.11098001652614e-05,3
1981,2,8,780255,52.0,6.66448789177897,6.66448789177897e-05,3
1981,2,9,626296,47.0,7.504438795713209,7.504438795713209e-05,3
1981,2,10,535481,37.0,6.909675600067976,6.909675600067976e-05,3
1981,2,11,449599,52.0,11.565862023714466,0.00011565862023714465,3
1981,2,12,350856,49.0,13.965843536949631,0.0001396584353694963,3
1981,2,13,273983,59.0,21.534182777763586,0.00021534182777763585,3
1981,2,14,212693,43.0,20.2169323861152,0.000202169323861152,3
1981,2,15,145717,41.0,28.13673078638731,0.0002813673078638731,3
1981,2,16,108492,34.0,31.338716218707372,0.0003133871621870737,3
1981,2,17,124452,59.0,47.40783595281715,0.0004740783595281715,3
1982,1,1,1881669,70.0,3.720101675693228,3.720101675693228e-05,4
1982,1,2,1696792,16.0,0.942955883808976,9.42955883808976e-06,4
1982,1,3,1681406,13.0,0.7731624604646349,7.73162460464635e-06,4
1982,1,4,1644034,16.0,0.9732158823965927,9.732158823965928e-06,4
1982,1,5,1432720,42.0,2.9314869618627504,2.9314869618627506e-05,4
1982,1,6,1183324,53.0,4.478908566039394,4.478908566039394e-05,4
1982,1,7,977790,65.0,6.647644177175057,6.647644177175057e-05,4
1982,1,8,808161,78.0,9.651542205080423,9.651542205080424e-05,4
1982,1,9,667338,80.0,11.987928156346559,0.00011987928156346559,4
1982,1,10,579409,62.0,10.70055867271651,0.0001070055867271651,4
1982,1,11,491033,108.0,21.994448438292334,0.00021994448438292336,4
1982,1,12,389017,99.0,25.448759308719158,0.00025448759308719157,4
1982,1,13,303538,109.0,35.90983665966041,0.00035909836659660406,4
1982,1,14,235547,106.0,45.0016344933283,0.00045001634493328297,4
1982,1,15,163332,105.0,64.28623907133937,0.0006428623907133936,4
1982,1,16,108168,57.0,52.69580652318616,0.0005269580652318616,4
1982,1,17,108865,58.0,53.276994442658335,0.0005327699444265834,4
1982,2,1,1866688,78.0,4.178523674015154,4.1785236740151544e-05,4
1982,2,2,1699232,19.0,1.1181522005235307,1.1181522005235307e-05,4
1982,2,3,1693214,16.0,0.9449484825899148,9.449484825899148e-06,4
1982,2,4,1667664,29.0,1.738959406691036,1.7389594066910362e-05,4
1982,2,5,1490086,50.0,3.355511024195919,3.355511024195919e-05,4
1982,2,6,1241670,39.0,3.1409311652854623,3.140931165285462e-05,4
1982,2,7,1010064,40.0,3.9601450997164536,3.9601450997164536e-05,4
1982,2,8,811820,45.0,5.543100687344485,5.543100687344485e-05,4
1982,2,9,647703,49.0,7.565195776459272,7.565195776459272e-05,4
1982,2,10,545259,51.0,9.353353177113995,9.353353177113995e-05,4
1982,2,11,463866,67.0,14.443826449879923,0.00014443826449879923,4
1982,2,12,365591,51.0,13.950015180898871,0.00013950015180898872,4
1982,2,13,283164,37.0,13.066632764051928,0.00013066632764051927,4
1982,2,14,219894,38.0,17.281053598552027,0.00017281053598552028,4
1982,2,15,151080,41.0,27.13794016415144,0.0002713794016415144,4
1982,2,16,108835,37.0,33.99641659392658,0.00033996416593926585,4
1982,2,17,130613,39.0,29.859202376486262,0.0002985920237648626,4
1983,1,1,1906298,59.0,3.095004033996783,3.095004033996783e-05,5
1983,1,2,1711871,13.0,0.7594030157646224,7.594030157646225e-06,5
1983,1,3,1669268,10.0,0.5990649793801834,5.990649793801834e-06,5
1983,1,4,1653600,20.0,1.2094823415578133,1.2094823415578133e-05,5
1983,1,5,1471986,36.0,2.445675434413099,2.445675434413099e-05,5
1983,1,6,1220133,53.0,4.343788750898468,4.343788750898468e-05,5
1983,1,7,1004779,73.0,7.265279230557168,7.265279230557168e-05,5
1983,1,8,834021,53.0,6.354756055303164,6.354756055303164e-05,5
1983,1,9,685199,76.0,11.091668259877787,0.00011091668259877787,5
1983,1,10,588176,83.0,14.111422431381085,0.00014111422431381084,5
1983,1,11,503938,98.0,19.44683671404022,0.0001944683671404022,5
1983,1,12,403325,89.0,22.06657162338065,0.0002206657162338065,5
1983,1,13,311492,91.0,29.21423343135618,0.0002921423343135618,5
1983,1,14,240605,94.0,39.068182290476095,0.0003906818229047609,5
1983,1,15,168758,105.0,62.21927256781901,0.0006221927256781901,5
1983,1,16,108952,55.0,50.48094573757251,0.0005048094573757251,5
1983,1,17,112938,87.0,77.03341656484089,0.0007703341656484088,5
1983,2,1,1895877,47.0,2.4790637789265864,2.4790637789265863e-05,5
1983,2,2,1717802,9.0,0.5239253418030716,5.239253418030716e-06,5
1983,2,3,1683697,10.0,0.5939310933024172,5.939310933024172e-06,5
1983,2,4,1679907,21.0,1.2500692002593,1.2500692002593e-05,5
1983,2,5,1529747,44.0,2.8762926157070416,2.876292615707042e-05,5
1983,2,6,1285548,36.0,2.800362180175303,2.8003621801753027e-05,5
1983,2,7,1048131,44.0,4.197948538875389,4.197948538875389e-05,5
1983,2,8,844372,49.0,5.803129426366578,5.8031294263665776e-05,5
1983,2,9,671751,49.0,7.294369491076307,7.294369491076307e-05,5
1983,2,10,555839,46.0,8.27577769821837,8.275777698218369e-05,5
1983,2,11,477301,53.0,11.104104118784583,0.00011104104118784583,5
1983,2,12,381012,62.0,16.272453361048996,0.00016272453361048996,5
1983,2,13,293113,59.0,20.12875580407556,0.0002012875580407556,5
1983,2,14,226651,39.0,17.20707166524745,0.0001720707166524745,5
1983,2,15,158559,52.0,32.795363240181885,0.00032795363240181887,5
1983,2,16,108502,28.0,25.805975926711028,0.0002580597592671103,5
1983,2,17,136596,56.0,40.99680810565463,0.0004099680810565463,5
1984,1,1,1928355,47.0,2.437310557444039,2.437310557444039e-05,6
