gr_et,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,6.006824439056991,4.691160209213561,4.855232167968396,5.4817900859603945,3.0637795073037903,2.428131589877719,2.403795746918155,1.829664813029856,1.6708135330326797,1.4045806887712553,1.26030988280214,1.1372944577204014,1.0170674626200942,1.0265475731099285,0.8304510749240078,0.6339486548548727,0.6911324127790895,0.6221916531292846,0.5369247916810768,0.6849591345769654,0.6909419304252185,0.7925686498904416,0.5143021585962918,0.9450413809994704,0.9623502052128852,0.7174148196113578,0.6390278911096473,0.771010598411171,0.5031416162518767,0.8390200246112541,0.5646538979598541,0.3691802636231067,0.442651635060286,0.49567482409739677,0.5815562604134918,0.3567382834986167,0.2630089332445337,0.2666065202357015,0.23923661192046924,0.3461199663340646,0.44427153114375173,0.2906356367453127,0.34216830916959745,0.44697237999909023,0.3186098415393953
2,1.474041764996038,1.235001235001235,1.3014232246073103,1.030616980327583,0.6414605707307955,1.0396127096119125,1.0226143414534077,0.6877785331114468,0.6738037759424561,0.49586072963864586,0.2867079334952278,0.45506399479634324,0.48228660590801087,0.17937582849210784,0.4903093852220751,0.47605011696948085,0.19988191975590422,0.22205033881180863,0.2434486744463125,0.19217981881286683,0.11879097397669891,0.16483262894856562,0.38432837015946425,0.3071977980061839,0.2273453227678384,0.09630490904643373,0.3622477785154983,0.181798160410386,0.21057424913829068,0.15900715929734738,0.22001737648346717,0.34401946997302507,0.12499556265752566,0.027891380921793406,0.061892448254818634,0.07732516779561412,0.1559142565137728,0.05721750146047672,0.026171152533066594,0.05992475248830043,0.09048368051418859,0.13562337930061735,0.04932268851069896,0.024827295128264013,0.15015432110351415
3,1.1113513063934606,0.613734737386136,1.031644060397749,0.9443522525080693,0.5964869898731422,0.7256513462976444,0.4240761349943386,0.4829953925258274,0.26932472212421793,0.5186727035847091,0.2489599697264677,0.4512854693021738,0.3709806773027951,0.2674907760264067,0.2616336207051615,0.18476521092796477,0.23029363013576384,0.2241973654247307,0.17049528026440408,0.2314518356445085,0.2550993076094593,0.1767251020839929,0.27437079916481527,0.10210228607018511,0.32581307393083697,0.10683595179348183,0.1826022807546587,0.10366150579221621,0.2119466808090052,0.09408289173176027,0.206795453705348,0.23650804387508023,0.08703960040699717,0.048028363630425584,0.06623277575271065,0.108330273003121,0.08183652063848854,0.10978177578609241,0.18475164606018654,0.14011633392151057,0.17063259475014697,0.1731859136350713,0.09338040328194765,0.11781349464042849,0.13249964556344812
4,1.8629880931773495,1.470528388208551,1.711484642634366,1.5100427912570535,1.3520509954063242,1.5122530301770092,1.5365782451252055,0.9372905741373412,1.1211302447306122,1.2394682882038464,0.7642186704734946,0.7452331163711321,0.8415037739761255,0.830025405417609,0.7230945554595447,0.8093388640313947,0.6337713961223331,0.9877994421402649,0.5457823456391081,0.6218378803501007,0.5885994703674947,0.7729152818601199,0.7575918823669047,0.8440891637579547,0.4966220551945752,0.3371315962065953,0.3335445782328808,0.47430971196566224,0.5496145827738299,0.5421746843458988,0.2921036354488209,0.4113946926558407,0.39358240277333906,0.2853928789720148,0.40990578315574167,0.28529530917452656,0.35024531765790956,0.4075269752892423,0.28918986591952855,0.48912052102268766,0.34740332228745174,0.4505456107345996,0.5253255705223312,0.6245830907868998,0.4545694227513814
5,3.6811351639209486,3.8359279525879306,3.1638828013440174,3.1476601594495155,3.239581203139964,2.6021684520252837,2.3793057503061377,2.0606105903509637,2.8043219907351267,2.031627014950743,1.5054780968298933,1.6505760510418135,1.3568650742621506,1.744843229628955,1.5975680449875163,1.5653567761164124,1.3170665165628954,1.2672248392508165,1.186924299324674,1.336212425706589,1.3153325686866668,1.190635171684765,1.5738928942277086,1.439396334111548,1.2246699973608361,1.7285214302838456,0.8370900239497435,0.86551844825525,1.0072328203852075,1.0423899917731374,1.197297085649456,0.5732046870947264,0.7747501688955368,0.7540654601433116,0.6359085972630494,0.9297044961603205,0.5401695886976879,0.6803984024245511,0.5544034816538648,0.7708577493665011,0.7070214060157622,0.6644573079305959,1.0163138702451755,1.2799008413663953,1.229844690293131
6,4.63600539958276,5.284159302374624,6.079680502307395,3.7938238197702754,3.551928597455143,4.130005769234863,3.3277911231788044,3.990094409261082,3.203241851593378,2.8107411444515287,2.6452953589464894,2.3293004307599383,1.7153474727591493,2.175161903903678,1.7165156833483968,2.4829828383209605,2.4334264730534714,1.783547980147837,1.1577407776299222,1.3400835930039172,2.3410672499944134,1.7494326492727705,1.9650913315498164,1.1188171864704635,1.1077547899317117,1.3340338721461937,1.0150490419064877,1.443008210355965,1.4023341214026146,1.2579490227594428,1.415022709388848,1.6165342199125456,0.977373796608513,0.9196824302506031,1.1786634504687243,1.0420571279535993,1.2117468513053617,0.8088138712225965,1.4600073825590691,1.1619003577491203,1.2002355462259469,1.4135381881738684,1.385514192540289,1.58838612406052,2.1329688225762498
7,6.892694840034652,5.312783415529427,5.19557171031986,5.776587984036811,6.88989535014507,6.39667007632027,5.533763503411953,5.615111232449147,4.7282391313330185,5.674055793045701,4.462708492162368,2.9325338707662074,3.3145590163370935,3.435054057490314,3.1079185880725855,2.627620230048151,3.276036727349929,2.3718689659319443,1.9163721621171552,2.6552924463747543,2.676051218821507,1.6049534760016875,2.103652012433309,2.496930404035908,1.6296243084073982,1.754748942355681,1.4668079691676965,1.8389140697522175,1.5285778548375122,2.0078924515434595,1.546893188080063,1.4283756342242884,1.2167300380228137,1.6797384350832145,1.184528015208059,1.1263785140121487,1.3288353422642725,1.403068104614005,1.5404870814753349,1.7864455023782495,1.7574470276175094,1.1737902037817172,2.172134204740226,1.848749966443922,2.0955744672248455
8,8.79062093339865,8.811356140464333,8.788037496571603,7.592681642562474,6.711471220290226,5.770651719842386,7.459176130636382,6.972574103333549,8.51266563036289,7.399551093900303,4.917471679501592,4.518949269932285,3.8158974831884733,4.753424220965086,4.727418100050666,3.80924762444259,4.4404480412073575,3.0435815514995137,2.7634604799010534,4.474077297820005,3.1318757906883596,4.212251525026518,2.456199352697001,2.997221027320725,2.279462046956918,2.459894453679345,1.652036033265937,1.7913866075937217,1.4931385194785012,2.107365770208321,1.5860320423787762,1.9238857966301819,1.3605321857697856,1.5970774225993143,1.450365471954968,1.2994885862668748,1.160819594916173,1.6046476709494204,1.106226098602357,1.8061849794312324,1.3264327389539101,1.3227498012999754,2.2596721761110574,1.9271934254215246,2.387314910403765
9,9.03447646564053,13.511491467660635,9.622214642663804,9.80958008153358,11.444255944833193,7.629991544904718,10.288222009711408,7.807369573148486,7.413553686959844,5.782381022847245,5.157186239187899,3.9360780917893408,4.639193696956689,5.242968449275939,5.914134399658125,5.075783256803815,4.771498882872824,4.995623152896724,5.1100665232154014,3.663605956499913,6.876307365160813,3.5912929103388835,4.197295629959422,4.021973668052821,5.260655147551062,3.064197321573183,3.0139262965852214,2.5767333418632092,3.193363254437391,2.216382669549811,2.2880668542627256,1.5846151779264483,1.5449468368720782,2.154866065622855,1.764010654624354,1.654345328892335,2.0801451563110893,1.899720326627551,2.4782660741272764,2.090184254881865,1.589411341641981,1.6723316902674477,2.403536526667854,2.528548781569298,2.7059547770249144
10,11.486129205501339,11.706331466158101,12.062833520043585,13.860047860094468,11.2760759255779,8.403945051920086,9.30014353221518,8.309872402365848,10.563524062642585,9.630172761485412,9.130279213808931,6.218841831236376,4.459436201842444,5.2091396188817365,6.33258749525056,7.110581226701888,5.508297857272133,5.40242333643496,4.5252357312613345,7.367518619728875,4.523708130351429,5.624537381800347,5.325659219781241,6.33963289975316,5.3099107271259,5.28320031343031,5.397218021196139,2.926401453656156,3.2873851940131567,3.2368769686184775,3.2679671814395803,3.2020300870752054,2.889369647894191,2.3596668579426923,2.7449128921500194,2.1167702178897425,2.253256924452168,1.8646345668066902,1.8069778564475276,1.9745223432999324,2.628737515458546,1.8594258557813812,1.7852061020444812,2.135149450130141,2.4274078621717816
