ano,t,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa
1986,8,2,3634891,25.0,0.6877785331114468,6.877785331114468e-06
1986,8,3,3312661,16.0,0.4829953925258274,4.829953925258274e-06
1986,8,4,2987334,28.0,0.9372905741373412,9.372905741373412e-06
1986,8,5,2863229,59.0,2.0606105903509637,2.0606105903509638e-05
1986,8,6,2756827,110.0,3.990094409261082,3.990094409261082e-05
1986,8,7,2065854,116.0,5.615111232449147,5.615111232449147e-05
1986,8,8,1520242,106.0,6.972574103333549,6.972574103333548e-05
1986,8,9,1370500,107.0,7.807369573148486,7.807369573148486e-05
1986,8,10,1095083,91.0,8.309872402365848,8.309872402365847e-05
1986,8,11,943791,119.0,12.608723753458127,0.00012608723753458127
1986,8,12,861923,122.0,14.15439662243611,0.0001415439662243611
1986,8,13,548308,138.0,25.1683360447048,0.000251683360447048
1986,8,14,413899,144.0,34.79109637858512,0.00034791096378585114
1986,8,15,359599,121.0,33.64859190375947,0.00033648591903759464
1986,8,16,225057,106.0,47.09917931901696,0.0004709917931901696
1986,8,17,308643,121.0,39.20386984315212,0.0003920386984315212
1987,9,1,3591065,60.0,1.6708135330326797,1.6708135330326796e-05
1987,9,2,3710279,25.0,0.6738037759424561,6.738037759424561e-06
1987,9,3,3341691,9.0,0.26932472212421793,2.6932472212421794e-06
1987,9,4,3300241,37.0,1.1211302447306122,1.1211302447306122e-05
1987,9,5,2638784,74.0,2.8043219907351267,2.8043219907351266e-05
1987,9,6,2341378,75.0,3.203241851593378,3.2032418515933776e-05
1987,9,7,2347597,111.0,4.7282391313330185,4.728239131333018e-05
1987,9,8,1397917,119.0,8.51266563036289,8.51266563036289e-05
1987,9,9,1402836,104.0,7.413553686959844,7.413553686959844e-05
1987,9,10,1126518,119.0,10.563524062642585,0.00010563524062642585
1987,9,11,1055955,141.0,13.352841740415075,0.00013352841740415074
1987,9,12,888355,130.0,14.63378941977025,0.0001463378941977025
1987,9,13,568960,132.0,23.200224971878516,0.00023200224971878515
1987,9,14,428013,136.0,31.774735814099106,0.00031774735814099104
1987,9,15,306238,136.0,44.40990340846009,0.00044409903408460086
1987,9,16,216786,98.0,45.205871227846814,0.00045205871227846817
1987,9,17,310324,102.0,32.86887253322334,0.0003286887253322334
1988,10,1,3986955,56.0,1.4045806887712553,1.4045806887712553e-05
1988,10,2,3428382,17.0,0.49586072963864586,4.958607296386458e-06
1988,10,3,3084797,16.0,0.5186727035847091,5.186727035847091e-06
1988,10,4,2985151,37.0,1.2394682882038464,1.2394682882038463e-05
1988,10,5,2953298,60.0,2.031627014950743,2.0316270149507433e-05
1988,10,6,2917380,82.0,2.8107411444515287,2.8107411444515286e-05
1988,10,7,1815280,103.0,5.674055793045701,5.674055793045701e-05
1988,10,8,1459548,108.0,7.399551093900303,7.399551093900303e-05
1988,10,9,1608334,93.0,5.782381022847245,5.782381022847245e-05
1988,10,10,1048787,101.0,9.630172761485412,9.630172761485411e-05
1988,10,11,1075101,107.0,9.95255329499275,9.95255329499275e-05
1988,10,12,912726,135.0,14.790857278087838,0.00014790857278087837
1988,10,13,722269,129.0,17.860381658357205,0.00017860381658357205
1988,10,14,444317,146.0,32.859422439384495,0.00032859422439384495
1988,10,15,382376,120.0,31.382722765027093,0.00031382722765027095
1988,10,16,244096,105.0,43.01586261143157,0.0004301586261143157
1988,10,17,291404,110.0,37.748280737395504,0.0003774828073739551
1989,11,1,3649896,46.0,1.26030988280214,1.26030988280214e-05
1989,11,2,3487870,10.0,0.2867079334952278,2.8670793349522775e-06
1989,11,3,2811697,7.0,0.2489599697264677,2.489599697264677e-06
1989,11,4,3271315,25.0,0.7642186704734946,7.642186704734945e-06
1989,11,5,3254780,49.0,1.5054780968298933,1.5054780968298933e-05
1989,11,6,2986434,79.0,2.6452953589464894,2.6452953589464892e-05
1989,11,7,1882265,84.0,4.462708492162368,4.462708492162368e-05
1989,11,8,2053901,101.0,4.917471679501592,4.917471679501592e-05
1989,11,9,1667576,86.0,5.157186239187899,5.157186239187899e-05
1989,11,10,1215735,111.0,9.130279213808931,9.130279213808931e-05
1989,11,11,1003485,113.0,11.260756264418502,0.00011260756264418501
1989,11,12,934298,114.0,12.2016744122325,0.000122016744122325
1989,11,13,614036,109.0,17.751402197916736,0.00017751402197916736
1989,11,14,503079,119.0,23.654336595246473,0.00023654336595246473
1989,11,15,396576,114.0,28.74606632776567,0.0002874606632776567
1989,11,16,255010,81.0,31.763460256460533,0.0003176346025646053
1989,11,17,295095,100.0,33.887392195733575,0.0003388739219573358
1990,12,1,3692975,42.0,1.1372944577204014,1.1372944577204015e-05
1990,12,2,3515989,16.0,0.45506399479634324,4.5506399479634325e-06
1990,12,3,2880660,13.0,0.4512854693021738,4.512854693021738e-06
1990,12,4,2683724,20.0,0.7452331163711321,7.452331163711321e-06
1990,12,5,2665736,44.0,1.6505760510418135,1.6505760510418135e-05
1990,12,6,2490018,58.0,2.3293004307599383,2.3293004307599384e-05
1990,12,7,2352914,69.0,2.9325338707662074,2.9325338707662074e-05
1990,12,8,1748194,79.0,4.518949269932285,4.5189492699322846e-05
1990,12,9,1727608,68.0,3.9360780917893408,3.936078091789341e-05
1990,12,10,1270333,79.0,6.218841831236376,6.218841831236376e-05
1990,12,11,1020609,82.0,8.034418665718214,8.034418665718213e-05
1990,12,12,952991,93.0,9.758749033306716,9.758749033306716e-05
1990,12,13,773998,100.0,12.919930025658982,0.0001291993002565898
1990,12,14,578538,121.0,20.91478865692487,0.0002091478865692487
1990,12,15,371812,92.0,24.743687670112855,0.00024743687670112854
1990,12,16,243272,96.0,39.46200138117005,0.00039462001381170047
1990,12,17,290147,108.0,37.22251134769617,0.00037222511347696167
1991,13,1,3736232,38.0,1.0170674626200942,1.0170674626200942e-05
1991,13,2,3524875,17.0,0.48228660590801087,4.822866059080109e-06
1991,13,3,2965114,11.0,0.3709806773027951,3.709806773027951e-06
1991,13,4,2970872,25.0,0.8415037739761255,8.415037739761255e-06
1991,13,5,3242769,44.0,1.3568650742621506,1.3568650742621506e-05
1991,13,6,3089753,53.0,1.7153474727591493,1.7153474727591493e-05
1991,13,7,2443764,81.0,3.3145590163370935,3.3145590163370933e-05
1991,13,8,2201317,84.0,3.8158974831884733,3.815897483188473e-05
1991,13,9,1789104,83.0,4.639193696956689,4.639193696956689e-05
1991,13,10,1435159,64.0,4.459436201842444,4.459436201842444e-05
1991,13,11,1046994,77.0,7.354387895250594,7.354387895250594e-05
1991,13,12,878370,92.0,10.473946059177795,0.00010473946059177795
1991,13,13,796901,111.0,13.928957298334423,0.00013928957298334422
1991,13,14,601287,110.0,18.2940925049103,0.000182940925049103
1991,13,15,387809,113.0,29.13805507350268,0.0002913805507350268
1991,13,16,217053,81.0,37.31807438736161,0.0003731807438736161
1991,13,17,288800,111.0,38.43490304709141,0.0003843490304709141
1992,14,1,3799142,39.0,1.0265475731099285,1.0265475731099285e-05
1992,14,2,3902421,7.0,0.17937582849210784,1.7937582849210784e-06
