age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct
1,0–4,1979,4.902390601753039,3.3237729114314387,train,1.5786176903216003,32.2009774120631
1,0–4,1980,4.247332661298663,3.204829421445986,train,1.0425032398526772,24.544892594636604
1,0–4,1981,4.42056195919306,3.5096436007857448,train,0.9109183584073155,20.60639273504486
1,0–4,1982,3.948396590826327,2.894431957580723,train,1.053964633245604,26.69348453228779
1,0–4,1983,2.7878779908867948,2.825074400966578,train,0.03719641007978325,1.3342194386330177
1,0–4,1984,2.2064843643326215,2.4231893581079347,train,0.21670499377531316,9.821279374479424
1,0–4,1985,2.403795746918155,2.4258366657548187,train,0.022040918836663703,0.9169214507897271
1,0–4,1986,1.829664813029856,1.9953536561769394,train,0.16568884314708332,9.055693806162717
1,0–4,1987,1.515381501081351,1.7726643384801104,train,0.25728283739875946,16.978090151896847
1,0–4,1988,1.4045806887712553,1.5384567971136192,train,0.13387610834236385,9.531393206002308
1,0–4,1989,1.143998583431319,1.344395045127548,train,0.20039646169622882,17.51719491602498
1,0–4,1990,1.0341928789418138,1.1476757020969457,train,0.11348282315513192,10.973081082442528
1,0–4,1991,0.9250214154629014,0.9517104337239226,train,0.026689018261021213,2.885232472987172
1,0–4,1992,0.9379044713032496,1.0255686791310645,train,0.08766420782781492,9.346816281406845
1,0–4,1993,0.8304510749240078,1.0468554633012046,train,0.21640438837719678,26.05865594153145
1,0–4,1994,0.6339486548548727,0.8511961022185114,train,0.21724744736363866,34.268934195210534
1,0–4,1995,0.6285641917688821,0.8674224329818849,train,0.2388582412130028,38.00061224308956
1,0–4,1996,0.5090382047055492,0.8519330729044511,train,0.3428948681989019,67.36132279054534
1,0–4,1997,0.39199084309390525,0.6005715664072891,train,0.2085807233133839,53.210611163030755
1,0–4,1998,0.6223597253042474,0.7124592709045545,train,0.09009954560030708,14.477084865390498
1,0–4,1999,0.6234791150660726,0.806734471692345,train,0.18325535662627246,29.392380947171286
1,0–4,2000,0.6496610161626379,0.7407825466878449,train,0.091121530525207,14.026011759707524
1,0–4,2001,0.5143021585962918,0.8085852093147937,train,0.2942830507185019,57.21987469811559
1,0–4,2002,0.8499482475955908,0.7065588402456244,train,0.1433894073499664,16.870369196665695
1,0–4,2003,0.6927447646411605,0.594248002097607,train,0.09849676254355355,14.218333731410377
1,0–4,2004,0.6534166673523508,0.7204776389282923,train,0.06706097157594149,10.263125342007733
1,0–4,2005,0.6390278911096473,0.5240622421071865,train,0.11496564900246076,17.990709107051234
1,0–4,2006,0.771010598411171,0.5398847848858351,train,0.2311258135253359,29.976995647221855
1,0–4,2007,0.5031416162518767,0.5445641225180371,train,0.0414225062661604,8.2327728274069
1,0–4,2008,0.8390200246112541,0.6167439619883043,train,0.22227606262294985,26.49234298382065
1,0–4,2009,0.5646538979598541,0.5487041634649797,train,0.015949734494874357,2.824692179138796
1,0–4,2010,0.3365087681242328,0.42899698856279617,train,0.09248822043856336,27.484639093985937
1,0–4,2011,0.3653420841461107,0.2513417362890529,train,0.11400034785705782,31.203727356924432
1,0–4,2012,0.3153649758285886,0.27097805054536644,train,0.044386925283222134,14.07477959992232
1,0–4,2013,0.5815562604134918,0.32285575453288085,train,0.258700505880611,44.48417521920795
1,0–4,2014,0.2921597859053089,0.3581746192557883,train,0.06601483335047942,22.595455136277824
1,0–4,2015,0.23985404082102568,0.24997054968432564,train,0.010116508863299956,4.217777123400099
1,0–4,2016,0.2666065202357015,0.24843239678427048,train,0.018174123451431046,6.816833825130632
1,0–4,2017,0.23923661192046922,0.24475538361669125,train,0.00551877169622203,2.3068257203277343
1,0–4,2018,0.3153281817467552,0.32325527203791693,train,0.007927090291161731,2.5139174834452622
1,0–4,2019,0.3668709264224634,0.3414167162201342,test,0.025454210202329186,6.938192254847107
1,0–4,2020,0.1820220465102733,0.3234391263769817,test,0.1414170798667084,77.69228100549175
1,0–4,2021,0.3129253013405459,0.30640816193678805,test,0.006517139403757866,2.0826501966568327
1,0–4,2022,0.4469723799990902,0.2902739775275451,test,0.1566984024715451,35.05773723017607
1,0–4,2023,0.3186098415393953,0.2749893524280351,test,0.04362048911136018,13.690879384203397
6,25–29,1979,4.63600539958276,4.208044402242593,train,0.42796099734016657,9.231244583508962
6,25–29,1980,4.800042980201364,4.259902467500661,train,0.5401405127007033,11.252826587774516
6,25–29,1981,4.94333910624429,4.379842736000836,train,0.5634963702434534,11.399104090020051
6,25–29,1982,3.7938238197702754,4.209107769681932,train,0.4152839499116565,10.946316161218126
6,25–29,1983,3.551928597455143,3.812461013922433,train,0.26053241646729,7.33495646995703
6,25–29,1984,3.747908705580521,3.528840432803529,train,0.2190682727769917,5.845080283060411
6,25–29,1985,3.0329819941968945,3.598523934835709,train,0.5655419406388145,18.646399540811146
6,25–29,1986,3.990094409261082,3.1613014075733927,train,0.8287930016876892,20.7712629496697
6,25–29,1987,2.6410915102993764,2.8516467915424286,train,0.21055528124305223,7.972282687743186
6,25–29,1988,2.8107411444515287,3.006665520691552,train,0.19592437624002335,6.970559228720967
6,25–29,1989,2.64529535894649,2.4134847500099075,train,0.23181060893658234,8.763127646695104
