age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct
7,30–34,1982,5.282078060058737,5.78422907821225,train,0.5021510181535129,9.506694381338413
7,30–34,1983,5.699226951011004,5.214276626370002,train,0.48495032464100163,8.509054452638964
7,30–34,1984,5.2815365498834055,4.779758187641752,train,0.5017783622416534,9.500613268552135
7,30–34,1985,5.533763503411953,4.915790424170282,train,0.6179730792416711,11.167320013958806
7,30–34,1986,5.119405725260913,4.3189901157030794,train,0.8004156095578336,15.634932109567073
7,30–34,1987,4.7282391313330185,4.139420135444401,train,0.5888189958886176,12.453240615235416
7,30–34,1988,4.2372271256584675,3.8388110829325996,train,0.39841604272586784,9.402753992422669
7,30–34,1989,3.3407240223908046,3.246110976208487,train,0.09461304618231736,2.832112007702064
7,30–34,1990,2.657323158994962,2.858343804024349,train,0.201020645029387,7.564779780319075
7,30–34,1991,3.0261628591186693,2.826672814525548,train,0.19949004459312114,6.5921780776603685
7,30–34,1992,2.7961606172760605,2.7106500143841052,train,0.08551060289195522,3.0581434544077513
7,30–34,1993,2.829443614670806,2.74701711809927,train,0.08242649657153622,2.913169788722798
7,30–34,1994,2.627620230048151,2.4426183540656172,train,0.18500187598253381,7.040662644736286
7,30–34,1995,2.611692240899779,2.541417580872924,train,0.0702746600268549,2.6907710995321525
7,30–34,1996,2.3718689659319443,2.416917971332499,train,0.04504900540055479,1.8993041372694184
7,30–34,1997,1.9163721621171552,1.9581421439934976,train,0.0417699818763424,2.1796383135828936
7,30–34,1998,2.428585634390873,2.4479393572050725,train,0.019353722814199337,0.7969133367229831
7,30–34,1999,2.1928338843237576,2.420626497165782,train,0.22779261284202423,10.388046922773295
7,30–34,2000,1.6049534760016875,2.0217527127766175,train,0.41679923677493,25.969552576269926
7,30–34,2001,1.9065300626919677,2.2061168335468127,train,0.299586770854845,15.713718693312224
7,30–34,2002,2.280628342855783,2.120693630408605,train,0.15993471244717794,7.012747734552359
7,30–34,2003,1.6296243084073982,2.06118808744548,train,0.43156377903808196,26.482409277500363
7,30–34,2004,1.437202281876144,1.6778769916286274,train,0.24067470975248328,16.746056751197415
7,30–34,2005,1.3395107102253223,1.5834374624236145,train,0.24392675219829218,18.210138249455333
7,30–34,2006,1.668527074354572,1.649930932306267,train,0.018596142048304953,1.1145244409952657
7,30–34,2007,1.388464635805726,1.793615626440092,train,0.405150990634366,29.17978464746831
7,30–34,2008,1.8232003547426974,1.6812167496798078,train,0.14198360506288954,7.787602974821012
7,30–34,2009,1.4034026773733532,1.4047799151996423,train,0.0013772378262890683,0.09813561342684227
7,30–34,2010,1.3082763116949625,1.474310290804809,train,0.1660339791098464,12.691048337849814
7,30–34,2011,1.2167300380228137,1.2432343013561566,train,0.026504263333342992,2.1783191427091273
7,30–34,2012,1.518582085019158,1.1738585592297779,train,0.34472352578938015,22.700355100332374
7,30–34,2013,1.0827220099534345,1.1625055683115844,train,0.07978355835814988,7.368794355772004
7,30–34,2014,1.1263785140121487,1.2161784120619894,train,0.08979989804984068,7.972444159110808
7,30–34,2015,1.086603748496984,1.2111922761089646,train,0.12458852761198069,11.465865802903267
7,30–34,2016,1.2742850411395847,1.2798640264221377,train,0.005578985282552962,0.43781297766500593
7,30–34,2017,1.259722961726257,1.0204401112701769,train,0.23928285045608022,18.994878852424804
7,30–34,2018,1.4692380445075417,1.2359710442752991,train,0.23326700023224256,15.876732916375632
7,30–34,2019,1.591692815573346,1.2442951584836504,test,0.3473976570896957,21.825672245970342
7,30–34,2020,1.0744159273565903,1.2511085147584668,test,0.17669258740187654,16.445454958639463
7,30–34,2021,1.978967739180385,1.0747783010236298,test,0.9041894381567552,45.689953416382465
7,30–34,2022,1.848749966443922,0.9886244754197102,test,0.8601254910242118,46.52470624130242
7,30–34,2023,2.0955744672248455,0.9913450982283876,test,1.104229368996458,52.69339678769713
8,35–39,1979,8.023557714067834,8.3723285249966,train,0.34877081092876594,4.346834949753778
8,35–39,1980,7.222197191161621,8.15947331235442,train,0.9372761211927987,12.977714349032428
8,35–39,1981,7.931035806068266,8.643470418163886,train,0.7124346120956204,8.982869697177714
8,35–39,1982,7.592681642562474,7.9026300257964675,train,0.3099483832339933,4.082199120486079
8,35–39,1983,6.077241742547782,6.976625421521162,train,0.89938367897338,14.799208540227141
8,35–39,1984,5.291702208307857,6.210948570783186,train,0.9192463624753291,17.371468126685823
8,35–39,1985,6.226332224747034,6.358475176665728,train,0.13214295191869407,2.1223241412252594
8,35–39,1986,5.737371288029029,5.448151119759582,train,0.28922016826944663,5.040987479281702
8,35–39,1987,6.215871470403572,5.208068683700376,train,1.0078027867031958,16.21337879172336
8,35–39,1988,5.445535568423154,4.966333564710577,train,0.4792020037125777,8.799905862176539
8,35–39,1989,4.917471679501592,3.93235135362682,train,0.9851203258747718,20.033065568658614
8,35–39,1990,3.7151662019573752,3.3259700178800844,train,0.38919618407729084,10.475875449993023
