age,N,age_label,MAE_x100k,MAPE_%,SMAPE_%,MSE_x100k,RMSE_x100k,MSE_logm,RMSE_logm
1,40,0–4,0.23204464826942664,20.224715740799898,19.65972688650105,0.1609541879991924,0.40119096201085136,0.06065188145182222,0.2462760269531369
2,40,5–9,0.037424689546866896,10.458254702322867,9.753168986263965,0.0039092260140281675,0.06252380357934223,0.01435378975660311,0.11980730260131521
3,40,10–14,0.06724824037293946,28.98320494750645,27.267310531929223,0.008288103955817017,0.09103902435668464,0.11995322188737967,0.34634263654274455
4,40,15–19,0.08374453473091689,12.30723600626124,12.274777852118557,0.012181642469228284,0.11037047825042838,0.02374980531858871,0.15410971844302587
5,40,20–24,0.14593448137412465,10.647912291044566,10.564545931599934,0.04806117253780412,0.2192285851293214,0.019374497536163042,0.13919230415566458
6,40,25–29,0.2654071840813714,15.704963452683762,14.848803361802416,0.10647064612176045,0.3262984004278299,0.035178434208345134,0.18755914855944814
7,40,30–34,0.2785504115714813,10.440465095988891,10.217736712045548,0.1389097168203152,0.3727059388047301,0.015710840899090688,0.12534289329312087
8,40,35–39,0.40185368174431224,12.317845462641419,12.311605107609399,0.26868432413558024,0.5183476865344151,0.022087368164342668,0.14861819593960449
9,40,40–44,0.34663868719813795,9.34517687047237,9.138160793008513,0.25070952650848743,0.5007090237937474,0.01416889730903007,0.11903317734577226
10,40,45–49,0.6459644184512576,12.553145347147277,12.372253551952387,0.7086007544247483,0.8417842683400233,0.023778623753982493,0.15420318983076353
11,40,50–54,0.7324428999665816,10.609144753838958,10.456018589451599,0.90775048787442,0.9527594071298483,0.016108491007222905,0.12691923024988336
12,40,55–59,0.6942438581390279,8.537726287205539,8.43833485440223,0.7188212693854183,0.8478332792391546,0.010097004598191942,0.10048385242511326
13,40,60–64,1.0265211264720904,8.084400067978484,8.072802897824138,2.173673397658031,1.4743382914575716,0.009715769651840369,0.09856860378355965
14,40,65–69,1.4018848156617867,7.467517527187359,7.46149657142108,4.762803638276161,2.182384851092071,0.010045399202896724,0.10022673896169985
15,40,70–74,1.8775851477265042,7.861388460182991,7.935435610127535,5.728002688890672,2.39332461001233,0.008745809322972758,0.09351903187572441
16,40,75–79,2.8675482370772185,9.656635383453319,9.5725563772681,15.101944238208734,3.886122005059637,0.013417270756141488,0.11583294331122511
17,40,≥80,2.3823058255287215,7.8486752175521275,7.855688678730418,8.770218291289186,2.961455434628248,0.009467132815383698,0.09729919226480607
